section_number,title,description,chapter,chapter_title,keywords,text_length
70,Form of warrant of arrest and duration,"Every warrant of arrest issued by a Court under this Code shall be in writing, signed by the presiding officer of such Court and shall bear the seal of the Court. Every such warrant shall remain in force until it is cancelled by the Court which issued it, or until it is executed.",6,Of the Exercise of Powers of Executive Magistrates,"duration, warrant, arrest, every, court, form",280
71,Power to direct security to be taken,"Any Court issuing a warrant for the arrest of any person may in its discretion direct by endorsement on the warrant that, if such person executes a bond with sufficient sureties for his attendance before the Court at a specified time and thereafter until otherwise directed by the Court the officer to whom the warrant is directed shall take such security and shall release such person from custody. The endorsement shall state- the number of sureties; the amount in which they and the person for who...",6,Of the Exercise of Powers of Executive Magistrates,"taken, direct, power, warrant, whenever, arrest, court, custody, security",742
72,Warrants to whom directed,"A warrant of arrest shall ordinarily be directed to one or more police officers; but the Court issuing such a warrant may, if its immediate execution is necessary and no police officer is immediately available, direct it to any other person or persons, and such person or persons shall execute the same. When a warrant is directed to more officers or persons than one, it may be executed by all, or by any one or more of them.",6,Of the Exercise of Powers of Executive Magistrates,"directed, warrant, arrest, court, warrants, whom",426
73,Warrant may be directed to any person,"The Chief Judicial Magistrate or a Magistrate of the first class may direct a warrant to any person within his local jurisdiction for the arrest of any escaped convict, proclaimed offender or of any person who is accused of a non-bailable offence and is evading arrest. Such person shall acknowledge in writing the receipt of the warrant, and shall execute it if the person for whose arrest it was issued, is in, or enters on, any land or other property under his charge. When the person against whom...",6,Of the Exercise of Powers of Executive Magistrates,"chief judicial magistrate, directed, magistrate, warrant, arrest, jurisdiction, person, offence",734
74,Warrant directed to police officer,A warrant directed to any police officer may also be executed by any other police officer whose name is endorsed upon the warrant by the officer to whom it is directed or endorsed.,6,Of the Exercise of Powers of Executive Magistrates,"warrant, directed, officer, police",180
75,Notification of substance of warrant,"The police officer or other person executing a warrant of arrest shall notify the substance thereof to the person to be arrested, and, if so required, shall show him the warrant.",6,Of the Exercise of Powers of Executive Magistrates,"arrest, notification, warrant, substance",178
76,Person arrested to be brought before Court without delay,"The police officer or other person executing a warrant of arrest shall (subject to the provisions of section 71 as to security) without unnecessary delay bring the person arrested before the Court before which he is required by law to produce such person; Provided that such delay shall not, in any case, exceed twenty-four hours exclusive of the time necessary for the journey from the place of arrest to the Magistrate’s Court.",6,Of the Exercise of Powers of Executive Magistrates,"arrested, before, magistrate, provided, warrant, delay, brought, without, arrest, court",429
77,Where warrant may be executed,A warrant of arrest may be executed at any place in India.,6,Of the Exercise of Powers of Executive Magistrates,"warrant, india, arrest, executed",58
78,Warrant forwarded for execution outside jurisdiction,"When a warrant is to be executed outside the local jurisdiction of the Court issuing it, such Court may, instead of directing the warrant to a police officer within its jurisdiction, forward it by post or otherwise to any Executive Magistrate or District Superintendent of Police or Commissioner of Police within the local limits of whose jurisdiction it is to be executed; and the Executive Magistrate or District Superintendent or Commissioner shall endorse his name thereon, and if practicable, ca...",6,Of the Exercise of Powers of Executive Magistrates,"bail, magistrate, warrant, outside, forwarded, execution, court, jurisdiction, executive magistrate, district superintendent",887
79,Warrant directed to police officer for execution outside jurisdiction,"When a warrant directed to a police officer is to be executed beyond the local jurisdiction of the Court issuing the same, he shall ordinarily take it for endorsement either to an Executive Magistrate or to a police officer not below the rank of an officer in charge of a police station, within the local limits of whose jurisdiction the warrant is to be executed. Such Magistrate or police officer shall endorse his name thereon and such endorsement shall be sufficient authority to the police offic...",6,Of the Exercise of Powers of Executive Magistrates,"magistrate, directed, warrant, outside, whenever, execution, court, jurisdiction, officer, executive magistrate",1025
80,Procedure of arrest of person against whom warrant issued,"When a warrant of arrest is executed outside the district in which it was issued, the person arrested shall, unless the Court which issued the warrant is within thirty kilometers of the place of arrest or is nearer than the Executive Magistrate or District Superintendent of Police or Commissioner of Police within the local limits of whose jurisdiction the arrest was made, or unless security is taken under section 71, be taken before such Magistrate or District Superintendent or Commissioner.",6,Of the Exercise of Powers of Executive Magistrates,"against, magistrate, warrant, procedure, arrest, court, district superintendent, executive magistrate, jurisdiction, person",496
81,Procedure by Magistrate before whom such person arrested is brought,"The Executive Magistrate or District Superintendent of Police or Commissioner of Police shall, if the person arrested appears to be the person intended by the Court which issued the warrant, direct his removal in custody to such Court; Provided that, if the offence is bailable, and such person is ready and willing to give bail to the satisfaction of such Magistrate, District Superintendent or Commissioner, or a direction has been endorsed under section 71 on the warrant and such person is ready ...",6,Of the Exercise of Powers of Executive Magistrates,"bail, court, custody, before, brought, arrest, offence, whom, warrant, procedure",1193
82,Proclamation for person absconding,"If Any Court has reason to believe (whether after taking evidence or not) that any person against whom a warrant has been issued by it has absconded or is concealing himself so that such warrant cannot be executed, such Court may publish a written proclamation requiring him to appear at a specific place and at a specified time not less than thirty days from the date of publishing such proclamation. The proclamation shall be published as follows- (i) a) it shall be publicly read in some conspicuo...",6,Of the Exercise of Powers of Executive Magistrates,"warrant, evidence, court, proclamation, person, absconding, inquiry, offence",2007
83,Attachment of property of person absconding,"The Court issuing a proclamation under section 82 may, for reasons to be recorded in writing, at any time after the issue of the proclamation, order the attachment of any property, movable or immovable, or both, belonging to the proclaimed person; Provided that where at the time of the issue of the proclamation the Court is satisfied, by affidavit or otherwise, that the person in relation to whom the proclamation is to be issued; is about to dispose of the whole or any part of his property, or i...",6,Of the Exercise of Powers of Executive Magistrates,"property, court it, attachment, magistrate, provided, procedure, court, jurisdiction, person, absconding",2284
84,Claims and objections to attachment,"If any claim is preferred to, or objection made to the attachment of, any property attached under section 83, within six months from the date of such attachment, by any person other than the proclaimed person, on the ground that the claimant or objector has an interest in such property, and that such interest is not liable to attachment under section 83, the claim or objection shall be inquired into, and may be allowed or disallowed in whole or in part; Provided that any claim preferred or objec...",6,Of the Exercise of Powers of Executive Magistrates,"claims, attachment, magistrate, provided, objections, court",1607
85,"Release, sale and restoration of attached property","If the proclaimed person appears within the time specified in the proclamation, the Court shall make an order releasing the property from the attachment. If the proclaimed person does not appear within the time specified in the proclamation, the property under the attachment shall be at the disposal of the State Government; but it shall not be sold until the expiration of six months from the date of the attachment and until any claim preferred or objection made under section 84 has been disposed...",6,Of the Exercise of Powers of Executive Magistrates,"release, property, warrant, sale, attached, court, state government, restoration",1591
86,Appeal from order rejecting application for restoration of attached property,"Any person referred to in Sub-Section (3) of section 85, who is aggrieved by any refusal to deliver property or the proceeds of the sale thereof may appeal to the Court to which appeals ordinarily lie from the sentences of the first-mentioned Court.",6,Of the Exercise of Powers of Executive Magistrates,"property, application, restoration, attached, court, order, rejecting, appeal",249
87,"Issue of warrant in lieu of, or in addition to, summons","A Court may, in any case in which it is empowered by this Code to issue a summons for the appearance of any person, issue, after recording its reasons in writing, a warrant for his arrest- if, either before the issue of such summons, or after the issue of the same but before the time fixed for his appearance, the Court sees reason to believe that he has absconded or will not obey the summons; or if at such time he fails to appear and the summons is proved to have been duly served in time to admi...",6,Of the Exercise of Powers of Executive Magistrates,"warrant, arrest, court, addition, issue, lieu, summons",596
88,Power to take bond for appearance,"When any person for whose appearance or arrest the officer presiding in any Court is empowered to issue a summons or warrant, is present in such Court, such officer may require such person to execute a bond, with or without sureties, for his appearance in such Court, or any other Court to which the case may be transferred for trial.",6,Of the Exercise of Powers of Executive Magistrates,"power, warrant, take, arrest, court, trial, appearance, bond",334
89,Arrest on breach of bond for appearance,"When any person who is bound by any bond taken under this Code to appear before a Court, does not appear, the officer presiding in such Court may issue a warrant directing that such person be arrested and produced before him.",6,Of the Exercise of Powers of Executive Magistrates,"breach, warrant, arrest, court, appearance, bond",225
90,Provisions of this Chapter generally applicable to summons and warrants of arrest,"The provisions contained in this Chapter relating to a summons and warrants, and their issue, service and execution, shall, so far as may be, apply to every summons and every warrant of arrest issued under this Code.",6,Of the Exercise of Powers of Executive Magistrates,"applicable, warrant, provisions, arrest, generally, warrants, summons",216
91,Summons to produce document or other thing,"Whenever any Court or any officer in charge of a police station considers that the production of any document or other thing is necessary or desirable for the purposes of any investigation, inquiry, trial or other proceeding under this Code by or before such Court or officer, such Court may issue a summons, or such officer a written order, to the person in whose possession or power such document or thing is believed to be, requiring him to attend and produce it, or to produce it, at the time and...",7,Processes to Compel Appearance,"investigation, produce, whenever, evidence, court, trial, custody, document, inquiry, thing",1091
92,Procedure as to letters and telegrams,"If any document, parcel or thing in the custody of a postal or telegraph authority is, in the opinion of the District Magistrate, Chief Judicial Magistrate, Court of Session or High Court wanted for the purpose of any investigation, inquiry, trial or other proceeding under this Code, such Magistrate or Court may require the postal or telegraph authority, as the case may be, to deliver the document, parcel or thing to such person as the Magistrate or Court directs. If any such document, parcel or...",7,Processes to Compel Appearance,"investigation, chief judicial magistrate, magistrate, district magistrate, letters, procedure, telegrams, court, trial, custody",929
93,When search-warrant may be issued,"The court; Where any Court has reason to believe that a person to whom a summons or order under section 91 or a requisition under Sub-Section (1) of section 92 has been, or might be, addressed, will not or would not produce the document or thing as required by such summons or requisition, or where such document or thing is not known to the Court to be in the possession of any person, or where the Court considers that the purposes of any inquiry, trial or other proceeding under this Code will be ...",7,Processes to Compel Appearance,"search, magistrate, warrant, court, trial, custody, inquiry, issued",1226
94,"Search of place suspected to contain stolen property, forged documents, etc.","If a District Magistrate, Sub-divisional Magistrate or Magistrate of the first class, upon information and after such inquiry as he thinks necessary, has reason to believe that any place is used for the deposit or sale of stolen property, or for the deposit, sale or production of any objectionable article to which this section applies, or that any such objectionable article is deposited in any place, he may by warrant authorise any police officer above the rank of a constable- to enter, with suc...",7,Processes to Compel Appearance,"property, search, contain, suspected, stolen, magistrate, district magistrate, place, warrant, documents",1862
95,Power to declare certain publications forfeited and to issue search-warrants for the same,"Where- any newspaper, or book, or any document, Wherever printed appears to the State Government to contain any matter the publication of which is punishable under section 124A or section 153A or section 153B or section 292 or section 293 or section 295A of the Indian Penal Code (45 of 1860), the State Government may, by notification, stating the grounds of its opinion, declare every copy of the issue of the newspaper containing such matter, and every copy of such book or other document to be fo...",7,Processes to Compel Appearance,"search, certain, declare, court, same, indian penal code, publications, issue, forfeited, warrants",1252
96,Application to High Court to set aside declaration of forfeiture,"Any person having any interest in any newspaper, book or other document, in respect of which a declaration of forfeiture has been made under section 95, may, within two months from the date of publication in the Official Gazette of such declaration, apply to the High Court to set aside such declaration on the ground that the issue of the newspaper, or the book or other document, in respect of which the declaration was made, did not contain any such matter as is referred to in Sub-Section (1) of ...",7,Processes to Compel Appearance,"official gazette, application, high court, evidence, every, court, declaration, forfeiture, aside, high",1572
97,Search for persons wrongfully confined,"If any District Magistrate, Sub-divisional Magistrate or Magistrate of the first class has reason to believe that any person is confined under such circumstances that the confinement amounts to an offence, he may issue, a search-warrant, and the person to whom such warrant is directed may search for the person so confined; and such search shall be made in accordance therewith, and the person, if found, shall be immediately taken before a Magistrate, who shall make such order as in the circumstan...",7,Processes to Compel Appearance,"search, magistrate, district magistrate, warrant, confined, offence, wrongfully, persons",529
98,Power to compel restoration of abducted females,"Upon complaint made on oath of the abduction or unlawful detention of a woman, or a female child under the age of eighteen years, for any unlawful purpose, a District Magistrate, Sub-divisional Magistrate or Magistrate of the first class may make an order for the immediate restoration of such woman to her liberty, or of such female child to her husband, parent, guardian or other person having the lawful charge or such child, and may compel compliance with such order, using such force as may be n...",7,Processes to Compel Appearance,"upon, detention, magistrate, abducted, district magistrate, power, females, compel, restoration",509
99,"Direction, etc., of search-warrants","The provisions of sections 38, 70, 72, 74, 77, 78 and 79 shall, so far as may be, apply to all search-warrants issued under section 93, section 94, section 95 or section 97.",7,Processes to Compel Appearance,"search, direction, warrants",173
100,Persons in charge of closed place to allow search,"Whenever any place liable to search of inspection under this Chapter is closed, any person residing in, or being in charge of, such place, shall, on demand of the officer or other person executing the warrant, and on production of the warrant, allow him free ingress thereto, and afford all reasonable facilities for a search therein. If ingress into such place cannot be so obtained, the officer or other person executing the warrant may proceed in the manner provided by Sub-Section (2) of section ...",7,Processes to Compel Appearance,"search, before, allow, witness, closed, place, whenever, warrant, charge, court",2331
101,Disposal of things found in search beyond jurisdiction,"When, in the execution of a search-warrant at any place beyond the local jurisdiction of the Court which issued the same, any of the things for which search is made, arc found, such things, together with the list of the same prepared under me provisions hereinafter contained, shall be immediately taken before the Court issuing the warrant, unless such place is nearer to the Magistrate having jurisdiction therein than to such Court, in which case the list and things shall be immediately taken bef...",7,Processes to Compel Appearance,"beyond, things, search, magistrate, warrant, found, disposal, court, jurisdiction",648
102,Power of police officer to seize certain property,"Any police officer may seize any property which may be alleged or suspected to have been stolen, or which may be found under circumstances which create suspicion of the Commission of any offence. Such police officer, if subordinate to the officer in charge of a police station, shall forthwith report the seizure to that officer. Every police officer acting under Sub-Section (1) shall forthwith report the seizure to the Magistrate having jurisdiction and where the property seized is such that it c...",7,Processes to Compel Appearance,"property, investigation, magistrate, seize, power, certain, every, court, jurisdiction, officer",1459
103,Magistrate may direct search in his presence,Any Magistrate may direct a search to be made in his presence of any place for the search of which he is competent to issue a search warrant.,7,Processes to Compel Appearance,"search, magistrate, direct, warrant, presence",141
104,"Power to impound document, etc., produced","Any Court may, if it thinks fit, impound any document or thing produced before it under this Code.",7,Processes to Compel Appearance,"power, impound, court, document, produced",98
105A,Definitions,"In this Chapter, unless the context otherwise requires; ""contracting State"" means any country or place outside India in respect of which arrangements have been made by the Central Government with the Government of such country through a treaty or otherwise; ""identifying"" includes establishment of a proof that the property was derived from, or used in, the Commission of an offence; ""proceeds of crime"" means any property derived or obtained directly or indirectly, by any person as a result of crim...",7,Processes to Compel Appearance,"property, tracing, government, definitions, contracting, proceeds, india, criminal, central government, state",1026
105B,Assistance in securing transfer of persons,"Where a Court in India, in relation to a criminal matter, desires that a warrant for arrest of any person to attend or produce a document or other thing issued by it shall be executed in any place in a contracting State, it shall send such warrant in duplicate in such form to such Court, Judge or Magistrate through such authority, as the Central Government may, by notification, specify in this behalf and that Court, Judge or Magistrate, as the case may be, shall cause the same to be executed. No...",7,Processes to Compel Appearance,"investigation, magistrate, warrant, india, assistance, transfer, criminal, arrest, court, custody",2182
105C,Assistance in relation to orders of attachment or forfeiture of property,"Where a Court in India has reasonable grounds to believe that any property obtained by any person is derived or obtained, directly or indirectly, by such person from the commission of an offence, it may make an order of attachment or forfeiture of such property, as it may deem fit under the provisions of sections 105D to 105J (both inclusive). Where the Court has made an order for attachment or forfeiture of any property under Sub-Section (1), and such property is suspected to be in a contractin...",7,Processes to Compel Appearance,"property, orders, attachment, india, assistance, forfeiture, court, offence, relation",1184
105D,Identifying unlawfully acquired property,"The Court shall, under Sub-Section (1), or on receipt of a letter of request under Sub-Section (3) of section 105C, direct any police officer not below the rank of Sub-Inspector of Police to lake all steps necessary for tracing and identifying such property. The steps referred to in Sub-Section (1) may include any inquiry, investigation or survey in respect of any person, place, property, assets, documents, books of account in any bank or public financial institutions or any other relevant matte...",7,Processes to Compel Appearance,"property, investigation, unlawfully, court, inspector, identifying, inquiry, acquired, police",711
105E,Seizure or attachment of property,"Where any officer conducting an inquiry or investigation under section 105D has a reason to believe that any property in relation to which such inquiry or investigation is being conducted is likely to be concealed, transferred or dealt with in any manner which will result in disposal of such property, he may make an order for seizing such property and where it is not practicable to seize such property, he may make an order of attachment directing that such property shall not be transferred or ot...",7,Processes to Compel Appearance,"property, investigation, attachment, seizure, court, inquiry",826
105F,Management of properties seized or forfeited under this Chapter,"The Court may appoint the District Magistrate of the area where the property is situated, or any other officer that may be nominated by the District Magistrate, to perform the functions of an Administrator of such property. The Administrator appointed under Sub-Section (1) shall receive and manage the property in relation to which the order has been made under Sub-Section (1) of section 105E or under section 105H in such manner and subject to such conditions as may be specified by the Central Go...",7,Processes to Compel Appearance,"seized, properties, magistrate, district magistrate, court, administrator, management, forfeited",669
105G,Notice of forfeiture of property,"If as a result of the inquiry, investigation or survey under section 105D, the Court has reason to believe that all or any of such properties are proceeds of crime, it may serve a notice upon such person (hereinafter referred to as the person affected) calling upon him within a period of thirty days specified in the notice to indicate the source of income, earning or assets, out of which or by means of which he has acquired such property, the evidence on which he relies and other relevant inform...",7,Processes to Compel Appearance,"property, investigation, inquiry, evidence, forfeiture, court, notice, central government",883
105H,Forfeiture of property in certain cases,"The Court may, after considering the explanation, if any, to the show-cause notice issued under section 105G and the material available before it and after giving to the person affected (and in a case where the person affected holds any property specified in the notice through any other person, to such other person also) a reasonable opportunity of being heard, by order, record a finding whether all or any of the properties in question are proceeds of crime; Provided that if the person affected ...",7,Processes to Compel Appearance,"property, section ex, provided, certain, evidence, forfeiture, court, cases",1756
105I,Fine in lieu of forfeiture,"Where the Court makes a declaration that any property stands forfeited to the Central Government under section 105H and it is a case where the source of only a part of such property has not been proved to the satisfaction of the Court, it shall make an order giving an option to the person affected to pay, in lieu of forfeiture, a fine equal to the market value of such part. Before making an order imposing a fine under Sub-Section (1), the person affected shall be given a reasonable opportunity o...",7,Processes to Compel Appearance,"before, central government, court, forfeiture, fine, lieu",763
105J,Certain transfers to be null and void,"Where after the making of an order under Sub-Section (1) of section 105E or the issue of a notice under section 105G, any property referred to in the said order or notice is transferred by any mode whatsoever such transfers shall, for the purposes of the proceedings under this Chapter, be ignored and if such property is subsequently forfeited to the Central Government under section 160H, then the transfer of such property shall be deemed to be null and void.",7,Processes to Compel Appearance,"certain, transfers, null, void, central government",462
105K,Procedure in respect of letter of request,"Every letter of request, summons or warrant, received by the Central Government from, and every letter of request, summons or warrant, to be transmitted to a contracting State under this Chapter shall be transmitted to a contracting State or, as the case may be, sent to the concerned Court in India in such form and in such manner as the Central Government may, by notification, specify in this behalf.",7,Processes to Compel Appearance,"warrant, procedure, respect, every, court, request, state, central government, letter",403
105L,Application of this Chapter,"The Central Government may, by notification in the Official Gazette, direct that the application of this Chapter in relation to a contracting State with which reciprocal arrangements have been made, shall be subject to such conditions, exceptions or qualifications as are specified in the said notification.",7,Processes to Compel Appearance,"official gazette, application, state, central government",307
106,Security for keeping the peace on conviction,"When a Court of Session or Court of a Magistrate of the first class convicts a person of any of the offences specified in Sub-Section (2) or of abetting any such offence and is of opinion that it is necessary to take security from such person for keeping the peace, the Court may, at the time of passing sentence on such person, order him to execute a bond, with or without sureties, for keeping the peace for such period, not exceeding three years, as it thinks fit. The offences referred to in Sub-...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, keeping, peace, criminal, conviction, court, security, session, sentence, offence",1147
107,Security for keeping the peace in other cases,"When an Executive Magistrate receives information that any person is likely to commit a breach of the peace or disturb the public tranquility or to do any wrongful act that may probably occasion a breach of the peace or disturb the public tranquility and is of opinion that there is sufficient ground for proceeding, he may in the manner hereinafter provided, require such person to show cause why he should not be ordered to execute a bond with or without sureties for keeping the peace for such per...",8,Security for Keeping the Peace and for Good Behaviour,"proceeding, magistrate, keeping, peace, executive magistrate, security, jurisdiction, cases",939
108,Security for good behaviour from persons disseminating seditious matters,"When an Executive Magistrate receives information that there is within his local jurisdiction any person who, within or without such jurisdiction; either orally or in writing or in any other manner, intentionally disseminates or attempts to disseminate or abets the dissemination of; any matter the publication of which is punishable under section 124A or section 153A or section 153B or section 295A of the Indian Penal Code (45 of 1860), or any matter concerning a Judge acting or purporting to act...",8,Security for Keeping the Peace and for Good Behaviour,"good, magistrate, matters, seditious, criminal, behaviour, security, executive magistrate, jurisdiction, judge",1692
109,Security for good behaviour from suspected persons,"When an Executive Magistrate receives information that there is within his local jurisdiction a person taking precautions to conceal his presence and that there is reason to believe that he is doing so with a view to committing a cognizable offence, the Magistrate may, in the manner hereinafter provided, require such person to show cause why he should not be ordered to execute a bond, with or without sureties, for his good behaviour for such period, not exceeding one year, as the Magistrate thin...",8,Security for Keeping the Peace and for Good Behaviour,"suspected, good, magistrate, behaviour, security, executive magistrate, jurisdiction, offence, persons",507
110,Security for good behaviour from habitual offenders,"When an Executive Magistrate receives information that there is within his local jurisdiction a person who- is by habit a robber, house-breaker, thief, or forger, or is by habit a receiver of stolen property knowing the same to have been stolen, or habitually protects or harbours thieves, or aids in the concealment of disposal of stolen property, or habitually commits, or attempts to commit, or abets the Commission of, the offence of kidnapping, abduction, extortion, cheating or mischief, or any...",8,Security for Keeping the Peace and for Good Behaviour,"offenders, habitual, good, magistrate, behaviour, security, executive magistrate, commission, jurisdiction, offence",1833
111,Order to be made,"When a Magistrate acting under section 107, section 108, section 109 or section 110, deems it necessary to require any person to show cause under such section he shall make an order in writing, setting forth the substance of the information received, the amount of the bond to be executed, the term for which it is to be in force, and the number, character and class of sureties (if any) required.",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, order, made",397
112,Procedure in respect of person present in Court,"If the person in respect of whom such order is made is present in Court, it shall be read over to him, or, if he so desires, the substance thereof shall be explained to him.",8,Security for Keeping the Peace and for Good Behaviour,"procedure, respect, present, court, person",173
113,Summons or warrant in case of person not so present,"If such person is not present in Court, the Magistrate shall issue a summons requiring him to appear, or, when such person is in custody, a warrant directing the officer in whose custody he is to bring him before the Court; Provided that whenever it appears to such Magistrate, upon the report of a police officer or upon other information (the substance of which report or information shall be recorded by the Magistrate), that there is reason to fear the Commission of a breach of the peace, and th...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, provided, warrant, arrest, present, court, custody, person, case, summons",665
114,Copy of order to accompany summons or warrant,"Every summons or warrant issued under section 113 shall be accompanied by a copy of the order made under section 111, and such copy shall be delivered by the officer serving or executing such summons or warrant to the person served with, or arrested under, the same.",8,Security for Keeping the Peace and for Good Behaviour,"warrant, copy, every, order, accompany, summons",266
115,Power to dispense with personal attendance,"The Magistrate may, if he sees sufficient cause, dispense with the personal attendance of any person called upon to show cause why he should not be ordered to execute a bond for keeping the peace or for good behaviour and may permit him to appear by a pleader.",8,Security for Keeping the Peace and for Good Behaviour,"personal, attendance, magistrate, dispense, power",260
116,Inquiry as to truth of information,"When an order under section 111 has been read or explained under section 112 to a person in Court, or when any person appears or is brought before a Magistrate in compliance with, or in execution of, a summons or warrant, issued under section 113, the Magistrate shall proceed to inquire into the truth of the information upon which action has been taken, and to take such further evidence as may appear necessary. Such inquiry shall be made, as nearly as may be practicable, in the manner hereinafte...",8,Security for Keeping the Peace and for Good Behaviour,"detention, magistrate, warrant, judge, information, evidence, court, trial, custody, offence",2944
117,Order to give security,"If, upon such inquiry, it is proved that it is necessary for keeping the peace or maintaining good behaviour, as the case may be, that the person in respect of whom the inquiry is made should execute a bond, with or without sureties, the Magistrate shall make an order accordingly; Provided that- no person shall be ordered to give security of a nature different from, or of an amount larger than, or for a period longer than, that specified in the order made under section 111; the amount of every b...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, provided, give, order, security, inquiry",711
118,Discharge of person informed against,"If, on an inquiry under section 116, it is not proved that it is necessary for keeping the peace or maintaining good behaviour, as the case may be, that the person in respect of whom the inquiry is made, should execute a bond, the Magistrate shall make an entry on the record to that effect, and if such person is in custody only for the purposes of the inquiry, shall release him, or, if such person is not in custody, shall discharge him.",8,Security for Keeping the Peace and for Good Behaviour,"against, magistrate, informed, custody, person, discharge, inquiry",440
119,Commencement of period for which security is required,"If any person, in respect of whom an order requiring security is made under section 106 or section 117, is, at the time such order is made, sentenced to, or undergoing a sentence of, imprisonment, the period for which such security is required shall commence on the expiration of such sentence. In other cases such period shall commence on the date of such order unless the Magistrate, for sufficient reason, fixes a later date.",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, commencement, imprisonment, period, required, security, sentence",428
120,Contents of bond,"The bond to be executed by any such person shall bind him to keep the peace or to be of good behaviour, as the case may be, and in the latter case the commission or attempt to commit, or the abetment of, any offence punishable with imprisonment, wherever it may be committed, is a breach of the bond.",8,Security for Keeping the Peace and for Good Behaviour,"offence, imprisonment, bond, contents",300
121,Power to reject sureties,"A Magistrate may refuse to accept any surety offered, or may reject any surety previously accepted by him or his predecessor under this Chapter on the ground that such surety is an unfit person for the purposes of the bond; Provided that, before so refusing to accept or rejecting any such surely, he shall either himself hold an enquiry on oath into the fitness of the surety, or cause such inquiry to be held and a report to be made thereon by a Magistrate subordinate to him. Such Magistrate shall...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, provided, power, reject, sureties, warrant, evidence, such magistrate, inquiry",1341
122,Imprisonment in default of security,"- If any person ordered to give security under section 106 or section 117 does not give such security on or before the date on which the period for which such security is to be given commences, be shall, except in the case next hereinafter mentioned, be committed to prison, or, if, he is already in prison, be detained in prison until such period expires or until within such period he gives the security to the Court or Magistrate who made the order requiring it. If any person after having execute...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, default, warrant, evidence, imprisonment, court, security, punishment, judge, sessions",3304
123,Power to release persons imprisoned for failing to give security,"Whenever the District Magistrate in the case of an order passed by an Executive Magistrate under section 117, or the Chief Judicial Magistrate in any other case is of opinion that any person imprisoned for failing to give security under this Chapter may be released without hazard to the community or to any other person, he may order such person to be discharged. Whenever any person has been imprisoned for failing to give security under this Chapter, the High Court or Court of Session, or, where ...",8,Security for Keeping the Peace and for Good Behaviour,"release, imprisoned, failing, chief judicial magistrate, magistrate, district magistrate, power, warrant, whenever, sessions",3722
124,Security for unexpired period of bond,"When a person for whose appearance a summons or warrant has been issued under the proviso to Sub-Section (3) of section 121 or under Sub-Section (10) of section 123, appears or is brought before the Magistrate or Court, the Magistrate or Court shall cancel the bond executed by such person and shall order such person to give, for the unexpired portion of the term of such bond, fresh security of the same person description as the original security. Every such order shall, for the purposes of secti...",8,Security for Keeping the Peace and for Good Behaviour,"magistrate, unexpired, warrant, period, court, security, bond",616
125,"Order for maintenance of wives, children and parents","If any person having sufficient means neglects or refuses to maintain; his wife, unable to maintain herself, or his legitimate or illegitimate minor child, whether married or not, unable to maintain itself, or his legitimate or illegitimate child (not being a married daughter) who has attained majority, where such child is, by reason of any physical or mental abnormality or injury unable to maintain itself, or his father or mother, unable to maintain himself or herself, A Magistrate of the first...",9,"Order for Maintenance of Wives, Children and Parents","wives, maintenance, magistrate, provided, warrant, imprisonment, parents, court, order, children",4067
126,Procedure,"Proceedings under section 125 may be taken against any person in any district- where he is, or where he or his wife resides, or where he last resided with his wife, or as the case may be, with the mother of the illegitimate child. All evidence to such proceedings shall be taken in the presence of the person against whom an order for payment of maintenance is proposed to be made, or, when his personal attendance is dispensed with in the presence of his pleader, and shall be recorded in the manner...",9,"Order for Maintenance of Wives, Children and Parents","magistrate, provided, evidence, procedure, proceedings, court",1178
127,Alteration in allowance,"On proof of a change in the circumstances of any person, receiving, under section 125 a monthly allowance for the maintenance or interim maintenance, or ordered under the same section to pay a monthly allowance for the maintenance, or interim maintenance, to his wife, child, father or mother, as the case may be, the Magistrate may make such alteration, as he thinks fit, in the allowance for the maintenance or the interim maintenance, as the case may be.; Provided that if he increases the allowan...",9,"Order for Maintenance of Wives, Children and Parents","magistrate, provided, allowance, court, alteration",2302
128,Enforcement of order of maintenance,"A copy of the order of maintenance or interim maintenance and expenses of proceeding, as the case may be shall be given without payment to the person in whose favour it is made, or to his guardian, if any, or to the person to whom the allowance for the maintenance or the allowance for the interim maintenance and expenses of proceeding, as the case may be is to be paid; and such order may be enforced by any Magistrate in any place where the person against whom it is made may be, on such Magistrat...",9,"Order for Maintenance of Wives, Children and Parents","magistrate, enforcement, order, maintenance",625
129,Dispersal of assembly by use of civil force,"Any Executive Magistrate or office in charge of a police station or, in the absence of such officer in charge, any police officer, not below the rank of a sub-inspector, may command any unlawful assembly, or any assembly of five or more persons likely to cause a disturbance of the public peace, to disperse; and it shall thereupon be the duty of the members of such assembly to disperse accordingly. If, upon being so commanded, any such assembly does not disperse, or if, without being so commanded...",10,Public Nuisances,"dispersal, magistrate, assembly, civil, executive magistrate, force",1030
