section_number,title,description,chapter,chapter_title,keywords,text_length
65,Power of State Government to make rules,"(1) A State Government may make rules for the purpose of carrying into effect the provisions of this Chapter other than the matters specified in section 64. (2) Without prejudice to the generality of the foregoing power, such rules may provide for-- (a) the conduct and hearing of appeals that may be preferred under this Chapter (the fees to be paid in respect of such appeals and the refund of such fees); (b) the appointment, functions and jurisdiction of registering and other prescribed authorit...",4,Registration of Motor Vehicles,"without, state, rules, state government, chapter, power, make, government",2458
66,Necessity for permits,"(1) No owner of a motor vehicle shall use or permit the use of the vehicle as a transport vehicle in any public place whether or not such vehicle is actually carrying any passengers or goods save in accordance with the conditions of a permit granted or countersigned by a Regional or State Transport Authority or any prescribed authority authorising him the use of the vehicle in that place in the manner in which the vehicle is being used: Provided that a stage carriage permit shall, subject to any...",4,Registration of Motor Vehicles,"regional, provided, state transport authority, permits, necessity",4628
66A,National Transportation Policy,"1[66A. National Transportation Policy.-- The Central Government may develop a National Transportation Policy consistent with the objects of this Act in concurrence with the State Governments and other agencies with a view to-- (i) establish a planning framework for passengers and goods transportation within which transport bodies are to operate; (ii) establish a medium and long term planning framework for all forms of road transport, identify areas for the development of transport improvement in...",4,Registration of Motor Vehicles,"national transportation policy, central government, india, state governments, transportation, national, policy",1730
66B,No bar against permit holders to apply and hold licences under schemes,1[66B. No bar against permit holders to apply and hold licences under schemes.-- No person who holds the permit issued under this Act shall-- (a) be disqualified from applying for a licence under the scheme made under sub-section (3) of section 67 or sub-section (1) of section 88A by reason of holding such permit; and (b) be required to get such permit cancelled on being issued a licence under any scheme made under this Act.],4,Registration of Motor Vehicles,"holders, hold, under, permit, apply, schemes, against, licences",429
67,Power to State Government to control road transport,"1[(1) A State Government, having regard to-- (a) the advantages offered to the public, trade and industry by the development of motor transport; (b) the desirability of co-ordinating road and rail transport; (c) the desirability of preventing the deterioration of the road system, and (d) promoting effective competition among the transport service providers, may, from time to time, by notification in the Official Gazette issue directions both to the State Transport Authority and Regional Transpor...",4,Registration of Motor Vehicles,"official gazette, regional transport authority, provided, transport, road, state transport authority, state, state government, control, power",2525
68,Transport Authorities,"(1) The State Government shall, by notification in the Official Gazette, constitute for the State a State Transport Authority to exercise and discharge the powers and functions specified in sub-section (3), and shall in like manner constitute Regional Transport Authorities to exercise and discharge throughout such areas (in this Chapter referred to as regions) as may be specified in the notification, in respect of each Regional Transport Authority; the powers and functions conferred by or under ...",4,Registration of Motor Vehicles,"official gazette, regional transport authorities, transport, state transport authority, state, state government, authorities",4916
69,General provision as to applications for permits,"(1) Every application for a permit shall be made to the Regional Transport Authority of the region in which it is proposed to use the vehicle or vehicles: Provided that if it is proposed to use the vehicle or vehicles in two or more regions lying within the same State, the application shall be made to the Regional Transport Authority of the region in which the major portion of the proposed route or area lies, and in case the portion of the proposed route or area in each of the regions is approxi...",4,Registration of Motor Vehicles,"regional transport authority, every, provision, provided, permits, state, general, applications",1310
70,Application for stage carriage permit,"(1) An application for a permit in respect of a stage carriage (in this Chapter referred to as a stage carriage permit) or as a reserve stage carriage shall, as far as may be, contain the following particulars, namely:-- (a) the route or routes or the area or areas to which the application relates; (b) the type and seating capacity of each such vehicle; (c) the minimum and maximum number of daily trips proposed to be provided and the time-table of the normal trips. Explanation.--For the purposes...",4,Registration of Motor Vehicles,"trip, permit, application, stage, chapter, explanation, carriage",1147
71,Procedure of Regional Transport Authority in considering application for stage carriage permit,"(1) A Regional Transport Authority shall, while considering an application for a stage carriage permit, have regard to the objects of this Act: 1 * * * * * (2) A Regional Transport Authority shall refuse to grant a stage carriage permit if it appears from any time-table furnished that the provisions of this Act relating to the speed at which vehicles may be driven are likely to be contravened: Provided that before such refusal an opportunity shall be given to the applicant to amend the timetable...",4,Registration of Motor Vehicles,"shall, regional transport authority, company, transport, respectively, state government, permit, stage, director, considering",3154
72,Grant of stage carriage permits,"(1) Subject to the provisions of section 71, a Regional Transport Authority may, on an application made to it under section 70, grant a stage carriage permit in accordance with the application or with such modifications as it deems fit or refuse to grant such a permit: Provided that no such permit shall be granted in respect of any route or area not specified in the application. (2) The Regional Transport Authority, if it decides to grant a stage carriage permit, may grant the permit for a stage...",4,Registration of Motor Vehicles,"regional transport authority, subject, provided, permits, stage, grant, carriage",5109
73,Application for contract carriage permit,"An application for a permit in respect of a contract carriage (in this Chapter referred to as a contract carriage permit) shall contain the following particulars, namely:-- (a) the type and seating capacity of the vehicle; (b) the area for which the permit is required; (c) any other particulars which may be prescribed.",4,Registration of Motor Vehicles,"contract, permit, application, chapter, carriage",320
74,Grant of contract carriage permit,"(1) Subject to the provisions of sub-section (3), a Regional Transport Authority may, on an application made to it under section 73, grant a contract carriage permit in accordance with the application or with such modifications as it deems fit or refuse to grant such a permit: Provided that no such permit shall be granted in respect of any area not specified in the application. (2) The Regional Transport Authority, if it decides to grant a contract carriage permit, may, subject to any rules that...",4,Registration of Motor Vehicles,"regional transport authority, contract, subject, provided, permit, grant, carriage",4076
75,Scheme for renting of motor cabs,"(1) The Central Government may, by notification in the Official Gazette, make a scheme for the purpose of regulating the business of renting of 1[motor cabs or motor cycles to persons desiring to drive either by themselves or through drivers, motor cabs or motor cycles] for their own use and for matters connected therewith. (2) A scheme made under sub-section (1) may provide for all or any of the following matters, namely:-- (a) licensing of operators under the scheme including grant, renewal an...",4,Registration of Motor Vehicles,"official gazette, scheme, central government, motor, cabs, renting",1144
76,Application for private service vehicle permit,"(1) A Regional Transport Authority may, on an application made to it, grant a private service vehicle permit in accordance with the application or with such modification as it deems fit or refuse to grant such permit: Provided that no such permit shall be granted in respect of any area or route not specified in the application. (2) An application for a permit to use a motor vehicle as a private service vehicle shall contain the following particulars, namely:-- (a) type and seating capacity of th...",4,Registration of Motor Vehicles,"regional transport authority, provided, permit, application, service, private, vehicle",1884
77,Application for goods carriage permit,"An application for a permit to use a motor vehicle for the carriage of goods for hire or reward or for the carriage of goods for or in connection with a trade or business carried on by the applicant (in this Chapter referred to as a goods carriage permit) shall, as far as may be, contain the following particulars, namely:-- (a) the area or the route or routes to which the application relates; (b) the type and capacity of the vehicle; (c) the nature of the goods it is proposed to carry; (d) the a...",4,Registration of Motor Vehicles,"regional transport authority, permit, application, goods, chapter, carriage",1289
78,Consideration of application for goods carriage permit,"A Regional Transport Authority shall, in considering an application for a goods carriage permit, have regard to the following matters, namely:-- (a) the nature of the goods to be carried with special reference to their dangerous or hazardous nature to human life; (b) the nature of the chemicals or explosives to be carried with special reference to the safety to human life.",4,Registration of Motor Vehicles,"consideration, regional transport authority, permit, application, goods, carriage",375
79,Grant of goods carriage permit,"(1) A Regional Transport Authority may, on an application made to it under section 77, grant a goods carriage permit to be valid throughout the State or in accordance with the application or with such modifications as it deems fit or refuse to grant such a permit: Provided that no such permit shall be granted in respect of any area or route not specified in the application. (2) The Regional Transport Authority, if it decides to grant a goods carriage permit, may grant the permit and may, subject...",4,Registration of Motor Vehicles,"regional transport authority, provided, permit, goods, state, grant, carriage",1813
80,Procedure in applying for and granting permits,"(1) An application for a permit of any kind may be made at any time. (2) A 1[Regional Transport Authority, State Transport Authority or any prescribed authority referred to in sub-section (1) of section 66] shall not ordinarily refuse to grant an application for permit of any kind made at any time under this Act: Provided that the 1[Regional Transport Authority, State Transport Authority or any prescribed authority referred to in sub-section (1) of section 66] may summarily refuse the applicatio...",4,Registration of Motor Vehicles,"regional transport authority, provided, state transport authority, permits, granting, procedure, applying",3633
81,Duration and renewal of permits,"(1) A permit other than a temporary permit issued under section 87 or a special permit issued under sub-section (8) of section 88 shall be effective 1[from the date of issuance or renewal thereof] for a period of five years: Provided that where the permit is countersigned under sub-section (1) of section 88, such countersignature shall remain effective without renewal for such period so as to synchronise with the validity of the primary permit. (2) A permit may be renewed on an application made ...",4,Registration of Motor Vehicles,"regional transport authority, provided, renewal, state transport authority, permits, notwithstanding, duration",2581
82,Transfer of permit,"(1) Save as provided in sub-section (2), a permit shall not be transferable from one person to another except with the permission of the transport authority which granted the permit and shall not, without such permission, operate to confer on any person to whom a vehicle covered by the permit is transferred any right to use that vehicle in the manner authorised by the permit. (2) Where the holder of a permit dies, the person succeeding to the possession of the vehicle covered by the permit may, ...",4,Registration of Motor Vehicles,"transfer, provided, permit, save",1432
83,Replacement of vehicles,"The holder of a permit may, with the permission of the authority by which the permit was granted, replace any vehicle covered by the permit by any other vehicle of the same nature.",4,Registration of Motor Vehicles,"replacement, vehicles",180
84,General conditions attaching to all permits,The following shall be conditions of every permit-- (a) that the vehicle to which the permit relates carries valid certificate of fitness issued under section 56 and is at all times so maintained as to comply with the requirements of this Act and the rules made thereunder; (b) that the vehicle to which the permit relates is not driven at a speed exceeding the speed permitted under this Act; (c) that any prohibition or restriction imposed and any fares or freight fixed by notification made under ...,4,Registration of Motor Vehicles,"chapters, permits, conditions, attaching, general",1331
85,General form of permits,Every permit issued under this Act shall be complete in itself and shall contain all the necessary particulars of the permit and the conditions attached thereto.,4,Registration of Motor Vehicles,"permits, general, form, every",161
86,Cancellation and suspension of permits,"(1) The transport authority which granted a permit may cancel the permit or may suspend it for such period as it thinks fit-- (a) on the breach of any condition specified in section 84 or of any condition contained in the permit, or (b) if the holder of the permit uses or causes or allows a vehicle to be used in any manner not authorised by the permit, or (c) if the holder of the permit ceases to own the vehicle covered by the permit, or (d) if the holder of the permit has obtained the permit by...",4,Registration of Motor Vehicles,"suspension, provided, permits, cancellation",2829
87,Temporary permits,"(1) A Regional Transport Authority and the State Transport Authority may without following the procedure laid down in section 80, grant permits, to be effective for a limited period which shall, not in any case exceed four months, to authorise the use of a transport vehicle temporarily-- (a) for the conveyance of passengers on special occasions such as to and from fairs and religious gatherings, or (b) for the purposes of a seasonal business, or (c) to meet a particular temporary need, or (d) pe...",4,Registration of Motor Vehicles,"regional transport authority, provided, state transport authority, permits, temporary",2036
88,Validation of permits for use outside region in which granted,"(1) Except as may be otherwise prescribed, a permit granted by the Regional Transport Authority of any one region shall not be valid in any other region, unless the permit has been countersigned by the Regional Transport Authority of that other rigion, and a permit granted in any one State shall not be valid in any other State unless countersigned by the State Transport Authority of that other State or by the Regional Transport Authority concerned: Provided that a goods carriage permit, granted ...",4,Registration of Motor Vehicles,"regional transport authority, authorisation, permit, permits, validation, authority, state, appropriate, granted, except",9237
88A,"Power of Central Government to make schemes for national, multimodal and inter-State transport of passengers and goods","1[88A. Power of Central Government to make schemes for national, multimodal and inter-State transport of passengers and goods.-- (1) Notwithstanding anything contained in this Act, the Central Government may, by notification in the Official Gazette, modify any permit issued under this Act or make schemes for national, multimodal and inter-State transportation of goods or passengers, and issue or modify licences under, such scheme for the following purposes, namely:-- (a) last mile connectivity; ...",4,Registration of Motor Vehicles,"transport, central government, notwithstanding, national, central, state, schemes, goods, inter, multimodal",1697
89,Appeals,"(1) Any person-- (a) aggrieved by the refusal of the State or a Regional Transport Authority to grant a permit, or by any condition attached to a permit granted to him, or (b) aggrieved by the revocation or suspension of the permit or by any variation of the conditions thereof, or (c) aggrieved by the refusal to transfer the permit under section 82, or (d) aggrieved by the refusal of the State or a Regional Transport Authority to countersign a permit, or by any condition attached to such counter...",4,Registration of Motor Vehicles,"appeals, state, regional transport authority, state transport appellate tribunal",2198
90,Revision,"The State Transport Appellate Tribunal may, on an application made to it, call for the record of any case in which an order has been made by a State Transport Authority or Regional Transport Authority against which no appeal lies, and if it appears to the State Transport Authority Appellate Tribunal that the order made by the State Transport Authority or Regional Transport Authority is improper or illegal, the State Transport Appellate Tribunal may pass such order in relation to the case as it d...",4,Registration of Motor Vehicles,"regional transport authority, state transport authority, state transport appellate tribunal, state transport authority appellate tribunal, revision",1260
91,Restriction of hours of work of drivers,"1 [(1) The hours of work of any person engaged for operating a transport vehicle shall be such as provided in the Motor Transport Workers Act, 1961 (27 of 1961).] (2) A State Government may, by notification in the Official Gazette, grant such exemptions from the provisions of sub-section (1) as it thinks fit, to meet cases of emergency or of delays by reason of circumstances which could not be foreseen. (3) A State Government or, if authorised in this behalf by the State Government by rules made...",5,Control of Transport Vehicles,"official gazette, hours, work, drivers, motor transport workers act, state government, restriction",1251
92,Voidance of contracts restrictive of liability,"Any contract for the conveyance of a passenger in a 1[transport vehicle, in respect of which a permit or licence] has been issued under this Chapter, shall, so far as it purports to negative or restrict the liability of any person in respect of any claim made against that person in respect of the death of, or bodily injury to, the passenger while being carried in, entering or alighting from the vehicle, or purports to impose any conditions with respect to the enforcement of any such liability, b...",5,Control of Transport Vehicles,"liability, voidance, contracts, chapter, restrictive",507
93,Agent or canvasser or aggregator to obtain licence,"1[Agent or canvasser or aggregator to obtain licence.]--(1) No person shall engage himself-- (i) as an agent or a canvasser, in the sale of tickets for travel by public service vehicles or in otherwise soliciting custom for such vehicles, or (ii) as an agent in the business of collecting, forwarding or distributing goods carried by goods carriages, 2[(iii) as an aggregator,] unless he has obtained a licence from such authority and subject to such conditions as may be prescribed by the State Gove...",5,Control of Transport Vehicles,"aggregator, provided, licence, central government, agent, canvasser, state government, obtain",2094
94,Bar on jurisdiction of Civil Courts,"No Civil Court shall have jurisdiction to entertain any question relating to the grant of a permit 1[or licence issued under any scheme] under this Act, and no injunction in respect of any action taken or to be taken by the duly constituted authorities under this Act with regard to the grant of a permit 1[or licence issued under any scheme], shall be entertained by any Civil Court.",5,Control of Transport Vehicles,"courts, civil, jurisdiction, civil court",384
95,Power of State Government to make rules as to stage carriages and contract carriages,"(1) A State Government may make rules to regulate, in respect of stage carriages and contract carriages and the conduct of passengers in such vehicles. (2) Without prejudice to the generality of the foregoing provision, such rules may-- (a) authorise the removal from such vehicle of any person contravening the rules by the driver or conductor of the vehicle, or, on the request of the driver or conductor, or any passenger, by any police officer; (b) require a passenger who is reasonably suspected...",5,Control of Transport Vehicles,"contract, without, stage, state, rules, carriages, state government, power, make, government",1918
96,Power of State Government to make rules for the purposes of this Chapter,"(1) A State Government may make rules for the purpose of carrying into effect the provisions of this Chapter. (2) Without prejudice to the generality of the foregoing power, rules under this section may be made with respect to all or any of the following matters, namely:-- (i) the period of appointment and the terms of appointment of and the conduct of business by Regional and State Transport Authorities and the reports to be furnished by them; (ii) the conduct of business by any such authority ...",5,Control of Transport Vehicles,"regional, without, state transport authorities, state, purposes, rules, chapter, state government, power, make",5922
97,Definition,"In this Chapter, unless the context otherwise requires, ""road transport service"" means a service of motor vehicles carrying passengers or goods or both by road for hire or reward.",5,Control of Transport Vehicles,"transport, road, service, chapter, definition",179
98,Chapter to override Chapter V and other laws,The provisions of this Chapter and the rules and orders made thereunder shall have effect notwithstanding anything inconsistent therewith contained in Chapter V or in any other law for the time being in force or in any instrument having effect by virtue of any such law.,5,Control of Transport Vehicles,"other, laws, chapter, override",270
99,Preparation and publication of proposal regarding road transport service of a State transport undertaking,"1 [(1)] Where any State Government is of opinion that for the purpose of providing an efficient, adequate, economical and properly co-ordinated road transport service, it is necessary in the public interest that road transport services in general or any particular class of such service in relation to any area or route or portion thereof should be run and operated by the State transport undertaking, whether to the exclusion, complete or partial, of other persons or otherwise, the State Government...",5,Control of Transport Vehicles,"official gazette, regarding, transport, road, proposal, service, state, publication, undertaking, state government",1488
100,Objection to the proposal,"(1) On the publication of any proposal regarding a scheme in the Official Gazette and in not less than one newspaper in the regional language circulating in the area or route which is to be covered by such proposal any person may, within thirty days from the date of its publication in the Official Gazette, file objections to it before the State Government. (2) The State Government may, after considering the objections and after giving an opportunity to the objector or his representatives and the...",5,Control of Transport Vehicles,"objection, official gazette, proposal, state, state government",1942
101,Operation of additional services by a State transport undertaking in certain circumstances,"Notwithstanding anything contained in section 87, a State transport undertaking may, in the public interest operate additional services for the conveyance of the passengers on special occasions such as to and from fairs and religious gatherings: Provided that the State transport undertaking shall inform about the operation of such additional services to the concerned Transport Authority without delay.",5,Control of Transport Vehicles,"services, operation, provided, transport, certain, circumstances, notwithstanding, transport authority, state, undertaking",404
102,Cancellation or modification of scheme,"(1) The State Government may, at any time, if it considers necessary, in the public interest so to do, modify any approved scheme after giving-- (i) the State transport undertaking; and (ii) any other person who, in the opinion of the State Government, is likely to be affected by the proposed modification, an opportunity of being heard in respect of the proposed modification. (2) The State Government shall publish any modification proposed under sub-section (1) in the Official Gazette and in one...",5,Control of Transport Vehicles,"official gazette, scheme, state, cancellation, state government, modification",845
103,Issue of permits to State transport undertakings,"(1) Where, in pursuance of an approved scheme, any State transport undertaking applies in such manner as may be prescribed by the State Government in this behalf for a stage carriage permit or a goods carriage permit or a contract carriage permit in respect of a notified area or notified route, the State Transport Authority in any case where the said area or route lies in more than one region and the Regional Transport Authority in any other case shall issue such permit to the State transport un...",5,Control of Transport Vehicles,"regional transport authority, transport, permits, state transport authority, undertakings, state, state government, issue",2161
104,Restriction on grant of permits in respect of a notified area or notified route,"Where a scheme has been published under sub-section (3) of section 100 in respect of any notified area or notified route, the State Transport Authority or the Regional Transport Authority, as the case may be, shall not grant any permit except in accordance with the provisions of the scheme: Provided that where no application for a permit has been made by the State transport undertaking in respect of any notified area or notified route in pursuance of an approved scheme, the State Transport Autho...",5,Control of Transport Vehicles,"notified, regional transport authority, respect, provided, state transport authority, permits, state, route, area, restriction",818
105,Principles and method of determining compensation and payment thereof,"(1) Where, in exercise of the powers conferred by clause (b) or clause (c) of sub-section (2) of section 103, any existing permit is cancelled or the terms thereof are modified, there shall be paid by the State transport undertaking to the holder of the permit, compensation, the amount of which shall be determined in accordance with the provisions of sub-section (4) or sub-section (5), as the case may be. (2) Notwithstanding anything contained in sub-section (1), no compensation shall be payable...",5,Control of Transport Vehicles,"payment, regional transport authority, principles, thereof, method, state transport authority, notwithstanding, state, compensation, determining",3038
106,Disposal of article found in vehicles,"Where any article found in any transport vehicle operated by the State transport undertaking is not claimed by its owner within the prescribed period, the State transport undertaking may sell the article in the prescribed manner and the sale proceeds thereof, after deducting the costs incidental to sale, shall be paid to the owner on demand.",5,Control of Transport Vehicles,"article, state, vehicles, disposal, found",343
107,Power of State Government to make rules,"(1) The State Government may make rules for the purpose of carrying into effect the provisions of this Chapter. (2) In particular and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:-- (a) the form in which any proposal regarding a scheme may be published under section 99; (b) the manner in which objections may be filed under sub-section (1) of section 100; (c) the manner in which objections may be considered and ...",5,Control of Transport Vehicles,"state, rules, state government, chapter, power, make, government",1003
108,Certain powers of State Government exercisable by the Central Government,"The powers conferred on the State Government under this Chapter shall, in relation to a corporation or company owned or controlled by the Central Government or by the Central Government and one or more State Governments, be exercisable only by the Central Government in relation to an inter-State route or area.",5,Control of Transport Vehicles,"certain, central government, exercisable, state, central, powers, state governments, chapter, state government, government",311
109,General provision regarding construction and maintenance of vehicles,"(1) Every motor vehicle shall be so constructed and so maintained as to be at all times under the effective control of the person driving the vehicle. (2) Every motor vehicle shall be so constructed as to have right hand steering control unless it is equipped with a mechanical or electrical signalling device of a prescribed nature. 1 [(3) If the Central Government is of the opinion that it is necessary or expedient so to do in the public interest, it may by order published in the Official Gazett...",5,Control of Transport Vehicles,"official gazette, every, provision, regarding, central government, vehicles, general, construction, maintenance",627
110,Power of Central Government to make rules,"(1) The Central Government may make rules regulating the construction, equipment and maintenance of motor vehicles and trailers with respect to all or any of the following matters, namely:-- (a) the width, height, length and overhang of vehicles and of the loads carried; 1[(b) the size, nature, maximum retail price and condition of tyres, including embossing thereon of date and year of manufacture and the maximum load carrying capacity;] (c) brakes and steering gear; (d) the use of safety glasse...",5,Control of Transport Vehicles,"provided, central government, ministry, india, central, rules, power, make, government",3128
110A,Recall of motor vehicles,"1[110A. Recall of motor vehicles. --(1) The Central Government may, by order, direct a manufacturer to recall motor vehicles of a particular type or its variants, if-- (a) a defect in that particular type of motor vehicle may cause harm to the environment or to the driver or occupants of such motor vehicle or other road users; and (b) a defect in that particular type of motor vehicle has been reported to the Central Government by-- (i) such percentage of owners, as the Central Government, may by...",5,Control of Transport Vehicles,"official gazette, recall, central government, vehicles, motor",2389
110B,Type of approval certificate and testing agencies,"1[110B. Type approval certificate and testing agencies.-- (1) No motor vehicle, including a trailer or semi-trailer or modular hydraulic trailer or side car shall be sold or delivered or offered for sale or delivery or used in a public place in India unless a type-approval certificate referred to in sub-section (2) has been issued in respect of such vehicle: Provided that the Central Government may, by notification in the Official Gazette, extend the requirement of type-approval certificate to o...",5,Control of Transport Vehicles,"official gazette, certificate, testing, agencies, provided, central government, india, type, approval",1888
111,Power of State Government to make rules,"(1) A State Government may make rules regulating the construction, equipment and maintenance of motor vehicles and trailers with respect to all matters other than the matters specified in sub-section (1) of section 110. (2) Without prejudice to the generality of the foregoing power, rules may be made under this section governing all or any of the following matters either generally in respect of motor vehicles or trailers or in respect of motor vehicles or trailers of a particular class or descri...",5,Control of Transport Vehicles,"without, state, rules, state government, power, make, government",1138
112,Limits of speed,(1) No person shall drive a motor vehicle or cause or allow a motor vehicle to be driven in any public place at a speed exceeding the maximum speed or below the minimum speed fixed for the vehicle under this Act or by or under any other law for the time being in force: Provided that such maximum speed shall in no case exceed the maximum fixed for any motor vehicle or class or description of motor vehicles by the Central Government by notification in the Official Gazette. (2) The State Government...,5,Control of Transport Vehicles,"official gazette, provided, central government, limits, speed, state government",1625
113,Limits of weight and limitations on use,"(1) The State Government may prescribe the conditions for the issue of permits for 1 [transport vehicles] by the State or Regional Transport Authorities and may prohibit or restrict the use of such vehicles in any area or route. (2) Except as may be otherwise prescribed, no person shall drive or cause or allow to be driven in any public place any motor vehicle which is not fitted with pneumatic tyres. (3) No person shall drive or cause or allow to be driven in any public place any motor vehicle ...",5,Control of Transport Vehicles,"regional transport authorities, limits, limitations, state, state government, except, weight",1048
114,Power to have vehicle weighed,"(1) 1 [Any officer of the Motor Vehicles Department authorized in this behalf by the State Government shall, if he has reason to believe that a goods vehicle or trailor is being used in contravention of section 113] require the driver to convey the vehicle to a weighing device, if any, within a distance of ten kilometres from any point on the forward route or within a distance of twenty kilometres from the destination of the vehicle for weighment; and if on such weighment the vehicle is found to...",5,Control of Transport Vehicles,"weighed, motor vehicles department, state government, power, vehicle",1202
115,Power to restrict the use of vehicles,"The State Government or any authority authorised in this behalf by the State Government, if satisfied that it is necessary in the interest of public safety or convenience, or because of the nature of any road or bridge, may by notification in the Official Gazette, prohibit or restrict, subject to such exceptions and conditions as may be specified in notification, the driving of motor vehicles or of any specified class or description of motor vehicles or the use of trailers either generally in a ...",5,Control of Transport Vehicles,"official gazette, provided, vehicles, state government, power, restrict",993
116,Power to erect traffic signs,(1) (a) The State Government or any authority authorised in this behalf by the State Government may cause or permit traffic signs to be placed or erected in any public place for the purpose of bringing to public notice any speed limits fixed under sub-section (2) of section 112 or any prohibitions or restrictions imposed under section 115 or generally for the purpose of regulating motor vehicle traffic. (b) A State Government or any authority authorised in this behalf by the State Government may...,5,Control of Transport Vehicles,"official gazette, traffic, signs, power, erect, state government",4141
117,Parking places and halting stations,"The State Government or any authority authorised in this behalf by the State Government may, in consultation with the local authority having jurisdiction in the area concerned, determine places at which motor vehicles may stand either indefinitely or for a specified period of time, and may determine the places at which public service vehicles may stop for a longer time than is necessary for the taking up and setting down of passengers. 1[Provided that the State Government or the authorised autho...",5,Control of Transport Vehicles,"halting, stations, provided, places, parking, state government",878
118,Driving regulations,"The Central Government may, by notification in the Official Gazette, make regulations for the driving of motor vehicles.",5,Control of Transport Vehicles,"central government, official gazette, driving, regulations",120
119,Duty to obey traffic signs,"(1) Every driver of a motor vehicle shall drive the vehicle in conformity with any indication given by mandatory traffic sign and in conformity with the driving regulations made by the Central Government, and shall comply with all directions given to him by any police officer for the time being engaged in the regulation of traffic in any public place. (2) In this section ""mandatory traffic sign"" means a traffic sign included in Part A of the Schedule, or any traffic sign of similar form (that is...",5,Control of Transport Vehicles,"every, traffic, central government, signs, duty, obey, sign, mandatory, schedule, part",729
120,Vehicles with left hand control,No person shall drive or cause or allow to be driven in any public place any motor vehicle with a left-hand steering control unless it is equipped with a mechanical or electrical signalling device of a prescribed nature and in working order.,5,Control of Transport Vehicles,"left, vehicles, hand, control",241
121,Signals and signalling devices,"The driver of a motor vehicle shall make such signals and on such occasions as may be prescribed by the Central Government: Provided that the signal of an intention to turn to the right or left or to stop-- (a) in the case of a motor vehicle with a right-hand steering control, may be given by a mechanical or electrical device of a prescribed nature affixed to the vehicle; and (b) in the case of a motor vehicle with a left hand steering control, shall be given by a mechanical or electrical device...",6,Special Provisions,"official gazette, provided, central government, signalling, devices, state government, signals",918
122,Leaving vehicle in dangerous position,"No person in charge of a motor vehicle shall cause or allow the vehicle or any trailer to be abandoned or to remain at rest on any public place in such a position or in such a condition or in such circumstances as to cause or likely to cause danger, obstruction or undue inconvenience to other users of the public place or to the passengers.",6,Special Provisions,"leaving, position, dangerous, vehicle",341
123,"Riding on running board, etc",(1) No person driving or in charge of a motor vehicle shall carry any person or permit any person to be carried on the running board or otherwise than within the body of the vehicle. (2) No person shall travel on the running board or on the top or on the bonnet of a motor vehicle.,6,Special Provisions,"running, riding, board",281
124,Prohibition against travelling without pass or ticket,"No person shall enter or remain in any stage carriage for the purposes of travelling therein unless he has with him a proper pass or ticket: Provided that where arrangements for the supply of tickets are made in the stage carriage by which a person has to travel, a person may enter such stage carriage but as soon as may be after his entry therein, be shall make the payment of his fare to the conductor or the driver who performs the functions of a conductor and obtain from such conductor or drive...",6,Special Provisions,"travelling, without, provided, prohibition, against, explanation, ticket, pass",895
125,Obstruction of driver,No person driving a motor vehicle shall allow any person to stand or sit or to place anything in such a manner or position as to hamper the driver in his control of the vehicle.,6,Special Provisions,"driver, obstruction",177
126,Stationary vehicles,"No person driving or in charge of a motor vehicle shall cause or allow the vehicle to remain stationary in any public place, unless there is in the driver's seat a person duly licensed to drive the vehicle or unless the mechanism has been stopped and a brake or brakes applied or such other measures taken as to ensure that the vehicle cannot accidentally be put in motion in the absence of the driver.",6,Special Provisions,"stationary, vehicles",402
127,Removal of motor vehicles abandoned or left unattended on a public place,"1[(1) Where any motor vehicle is abandoned, or left unattended, on a public place for ten hours or more or is parked in a place where parking is legally prohibited, its removal by a towing service or its immobilisations by any means including wheel clamping may be authorised by a police officer in uniform having jurisdiction.] (2) Where an abandoned, unattended, wrecked, burnt or partially dismantled vehicle is creating a traffic hazard, because of its position in relation to the 2[public place]...",6,Special Provisions,"left, vehicles, unattended, motor, removal, abandoned, place, public",901
128,Safety measures for drivers and pillion riders,"(1) No driver of a two-wheeled motor cycle shall carry more than one person in addition to himself on the motor cycle and no such person shall be carried otherwise than sitting on a proper seat securely fixed to the motor cycle behind the driver's seat with appropriate safety measures. (2) In addition to the safety measures mentioned in sub-section (1), the Central Government may, prescribe other safety measures for the drivers of two-wheeled motor cycles and pillion riders thereon.",6,Special Provisions,"central government, drivers, measures, safety, pillion, riders",487
129,Wearing of protective headgear,"1[129. Wearing of protective headgear.-- Every person, above four years of age, driving or riding or being carried on a motorcycle of any class or description shall, while in a public place, wear protective headgear conforming to such standards as may be prescribed by the Central Government: Provided that the provisions of this section shall not apply to a person who is a Sikh, if, while driving or riding on the motorcycle, in a public place, he is wearing a turban: Provided further that the Cen...",6,Special Provisions,"sikh, every, protective, provided, headgear, central government, wearing",1029
130,Duty to produce licence and certificate of registration,"(1) The driver of a motor vehicle in any public place shall, on demand by any police officer in uniform, produce his licence for examination: Provided that the driver may, if his licence has been submitted to, or has been seized by, any officer or authority under this or any other Act, produce in lieu of the licence a receipt or other acknowledgment issued by such officer or authority in respect thereof and thereafter produce the licence within such period, in such manner as the Central Governme...",6,Special Provisions,"produce, certificate, provided, licence, central government, insurance, duty, registration, motor vehicles department, explanation",2333
