Article_Number,Title,Content,Section,Word_Count,Clause_Count,Keywords,Themes,Has_Amendments,Amendment_Count
82,"Readjustment after each census Upon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine","82. Readjustment after each census Upon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine: Provided that such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House: Provided further that such readjustment shall take effect from such...",Unknown,164,0,"readjustment, house, each, census, people, territorial, constituencies, provided, allocation, seats","federal_structure, governance",False,0
83,Duration of Houses of Parliament,"83. Duration of Houses of Parliament (1) The council of States shall not be subject to dissolution, but as nearly as possible one third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law (2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period of five years ...",Unknown,148,1,"period, dissolution, expiration, year, house, five, years, said, operate, proclamation","federal_structure, emergency",False,0
84,Qualification for membership of Parliament A person shall not be qualified to be chosen to fill a seat in Parliament unless he,"84. Qualification for membership of Parliament A person shall not be qualified to be chosen to fill a seat in Parliament unless he (a) is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule; (b) is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less...",Unknown,123,3,"seat, person, behalf, case, less, than, years, qualification, membership, qualified",federal_structure,False,0
85,"Sessions of Parliament, prorogation and dissolution","85. Sessions of Parliament, prorogation and dissolution (1) The President shall form time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session (2) The President may from time to time (a) prorogue the Houses or either House; (b) dissolve the House of the People",Unknown,78,2,"time, house, president, sitting, session, sessions, prorogation, dissolution, form, summon",governance,False,0
86,Right of President to address and send messages to Houses,"86. Right of President to address and send messages to Houses (1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members (2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter required by the message to be taken into consideratio...",Unknown,84,1,"president, house, address, send, messages, houses, either, message, right, both","fundamental_rights, governance",False,0
87,Special address by the President,87. Special address by the President (1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons (2) Provision shall be made by rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address,Unknown,82,1,"address, president, commencement, first, session, each, house, special, general, election",governance,False,0
88,"Rights of Ministers and Attorney General in respects Houses Every Minister and the Attorney General of India shall have the right to speak in, and oth","88. Rights of Ministers and Attorney General in respects Houses Every Minister and the Attorney General of India shall have the right to speak in, and otherwise to take part in the proceedings of either House, any joint sitting of the Houses, and any committee of Parliament of which he may be named a member, but shall not by virtue of this article be entitled to vote Officers of Parliament",Unknown,70,0,"attorney, general, houses, rights, ministers, respects, every, minister, india, right","fundamental_rights, governance",False,0
89,The Chairman and Deputy Chairman of the council of States,"89. The Chairman and Deputy Chairman of the council of States (1) The Vice President of India shall be ex officio Chairman of the Council of States (2) The council of States shall, as soon as may be, choose a member of the council to be Deputy an thereof and, so often as the office of Deputy Chairman becomes vacant, the council shall choose another member to be Deputy chairman thereof",Unknown,71,1,"chairman, council, deputy, choose, member, thereof, vice, president, india, officio","federal_structure, governance",False,0
90,"Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States","90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States (a) shall vacate his office if he cease to be a member of the Council; (b) may at any time, by writing under his hand addressed to the Chairman, resign his office; and (c) may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause (c...",Unknown,112,5,"office, council, chairman, resolution, deputy, member, vacation, resignation, removal, holding",federal_structure,False,0
91,"Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman","91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during any period when the vice President is acting as, or discharging the functions of, President, the duties of the office shall be performed by the Deputy chairman, or, if the office of Deputy chairman is also vacant, by such member of the council of States as the President may appoint for the purpose (2) During the absence of the chair...",Unknown,144,1,"chairman, deputy, person, office, council, president, other, duties, vacant, also","federal_structure, governance",False,0
92,The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration,"92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Council of States, while any resolution for the removal of the Vice President from his office is under consideration, the Chairman, or while any resolution for the removal of the Deputy Chairman from his office is under consideration, the Deputy Chairman, shall not, though he is present, preside, and the provisions of clause (2) of Article 91 shal...",Unknown,181,1,"chairman, resolution, deputy, removal, office, consideration, sitting, council, preside, vice","fundamental_rights, federal_structure, governance",False,0
93,"The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp","93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be respectively Speaker and Deputy Speaker thereof and, so often as the office of Speaker or Deputy Speaker becomes vacant, the House shall choose another member to be Speaker or Deputy Speaker, as the case may be",Unknown,67,0,"speaker, deputy, house, people, choose, soon, members, respectively, thereof, often",,False,0
94,"Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People","94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People (a) shall vacate his office if he ceases to be a member of the House of the People; (b) may at any time, by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and (c) may be removed from his office by a resolution...",Unknown,174,5,"speaker, house, office, people, deputy, member, resolution, vacate, provided, vacation",,False,0
95,"Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker","95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of the office shall be performed by the Deputy Speaker or, if the office of Deputy Speaker is also vacant, by such member of the House of the People as the President may appoint for the purpose (2) During the absence of the Speaker from any sitting of the House of the People the Deputy Speaker or, if he is also absent, such person as ...",Unknown,129,1,"speaker, deputy, person, office, house, other, duties, vacant, also, people",governance,False,0
96,The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration,"96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House of the People, while any resolution for the removal of the Speaker from his office is under consideration, the Speaker, or while any resolution for the removal of the Deputy Speaker from his office is under consideration, the Deputy Speaker, shall not, though he is present, preside, and the provisions of clause (2) of Article 95 shall apply in...",Unknown,190,1,"speaker, resolution, deputy, removal, office, consideration, sitting, house, preside, people",fundamental_rights,False,0
97,Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai,"97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chairman of the council of States, and to the Speaker and the Deputy Speaker of the House of the People, such salaries and allowances as may be respectively fixed by Parliament by law and, until provision in that behalf is so made, such salaries and allowances as are specified in the Second Schedule",Unknown,79,0,"chairman, deputy, speaker, salaries, allowances, there, paid, council, house, people",federal_structure,False,0
98,Secretariat of Parliament,"98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common to both Houses of Parliament (2) Parliament may by law regulate the recruitment, and the conditions of service of persons appointed, to the secretarial staff of either House of Parliament (3) Until provision is made by Parliament under clause (2) , the President may, after consultation with the Speak...",Unknown,150,1,"house, staff, clause, made, secretariat, recruitment, conditions, service, persons, appointed","federal_structure, governance",False,0
99,"Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s","99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule",Unknown,50,0,"oath, affirmation, members, every, member, either, house, taking, seat, make",governance,False,0
100,"Voting in Houses, power of Houses to act notwithstanding vacancies and quorum","100. Voting in Houses, power of Houses to act notwithstanding vacancies and quorum (1) Save as otherwise provided in this Constitution, all questions at any sitting of either House or joint sitting of the Houses shall be determined by a majority of votes of the members present and voting, other than the Speaker or person acting as Chairman or Speaker The Chairman or Speaker, or person acting as such, shall not vote in the first instance, but shall have and exercise a casting vote in the case of ...",Unknown,219,3,"house, quorum, either, speaker, person, houses, notwithstanding, otherwise, acting, chairman",fundamental_rights,False,0
101,Vacation of seats,"101. Vacation of seats (1) No person shall be a member of both Houses of Parliament and provision shall be made by Parliament by law for the vacation by a person who is chosen a member of both Houses of his seat in one House or the other (2) No person shall be a member both of Parliament and of a House of the Legislature of a State and if a person is chosen a member both of Parliament and of a House of the Legislature of a State, then, at the expiration of such period as may be specified in rule...",Unknown,321,3,"house, member, seat, person, both, period, resignation, legislature, vacant, clause","federal_structure, governance",False,0
102,Disqualification s for membership,"102. Disqualification s for membership (1) A person shall be disqualified for being chosen as, and for being, a member of either House of Parliament (a) if he holds any office of profit under the Government of India or the Government of any State, other than an office declared by Parliament by law not to disqualify its holder; (b) if he is of unsound mind and stands so declared by a competent court; (c) if he is an undischarged insolvent; (d) if he is not a citizen of India, or has voluntarily a...",Unknown,196,5,"disqualified, person, being, either, office, india, member, house, profit, declared","federal_structure, governance",False,0
103,Decision on questions as to disqualifications of members,"103. Decision on questions as to disqualifications of members (1) If any question arises as to whether a member of either House of Parliament has become subject to any of the disqualifications mentioned in clause (1) of Article 102, the question shall be referred for the decision of the President and his decision shall be final (2) Before giving any decision on any such question, the President shall obtain the opinion of the Election Commission and shall act according to such opinion",Unknown,82,1,"decision, question, disqualifications, president, opinion, questions, members, arises, whether, member",governance,False,0
104,Penalty for sitting and voting before making oath or affirmation under Article 99 or when not qualified or when disqualified If a person sits or votes,"104. Penalty for sitting and voting before making oath or affirmation under Article 99 or when not qualified or when disqualified If a person sits or votes as a member of either House of Parliament before he has complied with the requirements of Article 99, or when he knows that he is not qualified or that he is disqualified for membership thereof, or that he is prohibited from so doing by the provisions of any law made by Parliament, he shall be liable in respect of each day on which he so sits...",Unknown,121,0,"penalty, qualified, disqualified, sits, votes, sitting, voting, making, oath, affirmation",federal_structure,False,0
105,"Powers, privileges, etc of the Houses of Parliament and of the members and committees thereof","105. Powers, privileges, etc of the Houses of Parliament and of the members and committees thereof (1) Subject to the provisions of this constitution and the rules and standing orders regulating the procedure of Parliament, there shall be freedom of speech in Parliament (2) No member of Parliament shall be liable to any proceedings in any court in respect of anything said or any vote given by him in Parliament or any committee thereof, and no person shall be so liable in respect of the publicati...",Unknown,229,1,"house, members, committees, thereof, proceedings, powers, privileges, provisions, liable, respect","fundamental_rights, amendment",False,0
106,Salaries and allowances of members Members of either House of Parliament shall be entitled to receive such salaries and allowances as may from time to,"106. Salaries and allowances of members Members of either House of Parliament shall be entitled to receive such salaries and allowances as may from time to time be determined by Parliament by law and, until provision in that in that respect is so made, allowances at such rates and upon such conditions as were immediately before the commencement of this Constitution applicable in the case of members of the Constituent Assembly of the Dominion of India Legislative Procedure",Unknown,78,0,"allowances, members, salaries, time, either, house, entitled, receive, determined, provision",governance,False,0
107,Provisions as to introduction and passing of Bills,"107. Provisions as to introduction and passing of Bills (1) Subject to the provisions of Articles 109 and 117 with respect to Money Bills and other financial Bills, a Bill may originate in either House of Parliament (2) Subject to the provisions of Article 108 and 109, a Bill shall not be deemed to have been passed by the Houses of Parliament unless it has been agreed to by both Houses, either without amendment or with such amendments only as are agreed by both Houses (3) A Bill pending in Parli...",Unknown,182,4,"house, bill, people, provisions, houses, pending, bills, subject, passed, lapse","federal_structure, amendment, emergency",False,0
108,Joint sitting of both Houses in certain cases,"108. Joint sitting of both Houses in certain cases (1) If after a Bill has been passed by one House and transmitted to the other House (a) the Bill is rejected by the other House; or (b) the Houses have finally disagreed as to the amendments to be made in the Bill; or (c) more than six months elapse from the date of the reception of the Bill by the other House without the Bill being passed by it the President may, unless the Bill has lapsed by reason of a dissolution of the House of the People, ...",Unknown,485,3,"bill, houses, house, sitting, joint, passed, amendments, other, clause, meet","governance, amendment",False,0
109,Special procedure in respect of Money Bills,109. Special procedure in respect of Money Bills (1) A Money Bill shall not be introduced in the Council of States (2) After a Money Bill has been passed by the House of the People it shall be transmitted to the Council of States for its recommendations and the Council of States shall within a period of fourteen days from the date of its receipt of the Bill return the Bill to the house of the People with its recommendations and the House of the People may thereupon either accept or reject all or...,Unknown,277,4,"house, people, council, bill, passed, money, recommendations, period, deemed, both","federal_structure, amendment",False,0
110,Definition of Money Bill,"110. Definition of Money Bill (1) For the purposes of this Chapter, a Bill shall be deemed to be a Money Bill if it contains only provisions dealing with all or any of the following matters, namely (a) the imposition, abolition, remission, alteration or regulation of any tax; (b) the regulation of the borrowing of money or the giving of any guarantee by the Government of India, or the amendment of the law with respect to any financial obligations undertaken or to be undertaken by the Government ...",Unknown,362,10,"money, bill, india, fund, consolidated, imposition, regulation, moneys, expenditure, purposes","federal_structure, governance, amendment, emergency",False,0
111,"Assent to Bills When a Bill has been passed by the Houses of Parliament, it shall be presented to the President, and the President shall declare eithe","111. Assent to Bills When a Bill has been passed by the Houses of Parliament, it shall be presented to the President, and the President shall declare either that he assents to the Bill, or that he withholds assent therefrom Provided that the President may, as soon as possible after the presentation to him of a Bill for assent, return the Bill if it is not a Money Bill to the Houses with a message requesting that they will reconsider the Bill or any specified provisions thereof and, in particular...",Unknown,152,0,"bill, assent, president, houses, passed, presented, therefrom, message, reconsider, bills","governance, amendment, emergency",False,0
112,Annual financial statement,"112. Annual financial statement (1) The President shall in respect of every financial year cause to be laid before both the Houses of Parliament a statement of the estimated receipts and expenditure of the Government of India for that year, in this Part referred to as the annual financial statement (2) The estimates of expenditure embodied in the annual financial statement shall show separately (a) the sums required to meet expenditure described by the Condition as expenditure charged upon the C...",Unknown,348,9,"expenditure, india, respect, other, financial, statement, fund, allowances, payable, court","federal_structure, governance, emergency",False,0
113,Procedure in Parliament with respect to estimates,"113. Procedure in Parliament with respect to estimates (1) So much of the estimates as relates to expenditure charged upon the Consolidated Fund of India shall not be submitted to the vote of Parliament, but nothing in this clause shall be construed as preventing the discussion in either House of Parliament of any of those estimates (2) So much of the said estimates as relates to other expenditure shall be submitted in the form of demands for grants to the House of the People, and the House of t...",Unknown,134,2,"estimates, house, assent, demand, much, relates, expenditure, submitted, people, procedure",governance,False,0
114,Appropriation Bills,"114. Appropriation Bills (1) As soon as may be after the grants under article 113 have been made by the House of the People, there shall be introduced a Bill to provide for the appropriation out of the Consolidated Fund of India of all moneys required to meet (a) the grants so made by the House of the People; and (b) the expenditure charged on the Consolidated fund of India but not exceeding in any case the amount shown in the statement previously laid before Parliament (2) No amendment shall be...",Unknown,190,3,"made, consolidated, fund, india, appropriation, house, amount, grants, people, bill","federal_structure, amendment",False,0
115,"Supplementary, additional or excess grants","115. Supplementary, additional or excess grants (1) The President shall (a) If the amount authorised by any law made in accordance with the provisions of article 114 to be expended for a particular service for the current financial year is found to be insufficient for the purposes of that year or when a need has arisenduring the current financial year for supplementary or additional expenditure upon some new service not contemplated in the annual financial statement for that year, or (b) if any ...",Unknown,250,2,"year, expenditure, financial, service, statement, demand, excess, amount, made, grant","federal_structure, governance, emergency",False,0
116,"Votes on account, votes of credit and exceptional grants","116. Votes on account, votes of credit and exceptional grants (1) Notwithstanding anything in the foregoing provisions of this Chapter, the House of the People shall have power (a) to make any grant in advance in respect of the estimated expenditure for a part of any financial year pending the completion of the procedure prescribed in article 113 for the voting of such grant and the passing of the law in accordance with the provisions of article 114 in relation to that expenditure; (b) to make a...",Unknown,252,2,"grant, expenditure, financial, provisions, make, relation, india, made, votes, account","federal_structure, emergency",False,0
117,Special provisions as to financial Bills,117. Special provisions as to financial Bills (1) A Bill or amendment making provision for any of the matters specified in sub clauses (a) to (f) of clause (1) of article 110 shall not be introduced or moved except on the recommendation of the President and a Bill making such provision shall not be introduced in the Council of States: Provided that no recommendation shall be required under this clause for the moving of an amendment making provision for the reduction or abolition of any tax (2) A...,Unknown,203,2,"bill, provision, amendment, making, matters, clause, introduced, recommendation, president, abolition","federal_structure, governance, amendment, emergency",False,0
118,Rules of procedure,"118. Rules of procedure (1) Each House of Parliament may make rules for regulations, subject to the provisions of this Constitution, its procedure and the conduct of its business (2) Until rules are made under clause (1) , the rules of procedure and standing orders in force immediately before the commencement of this Constitution with respect to the Legislature of the Dominion of India shall have effect in relation to Parliament subject to such modifications and adaptations as may be made therei...",Unknown,183,1,"rules, procedure, house, made, speaker, people, make, subject, clause, respect","federal_structure, governance",False,0
119,"Regulation by law of procedure in Parliament in relation to financial business Parliament may, for the purpose of the timely completion of financial business, regulate by law the procedure of, and the conduct of business in, each House of Parliament in relation to any financial matter or to any Bill for the appropriation of moneys out of the consolidated Fund of India, and, if and so far as any provision of any law so made is inconsistent with any rule made by a House of Parliament under clause","119. Regulation by law of procedure in Parliament in relation to financial business Parliament may, for the purpose of the timely completion of financial business, regulate by law the procedure of, and the conduct of business in, each House of Parliament in relation to any financial matter or to any Bill for the appropriation of moneys out of the consolidated Fund of India, and, if and so far as any provision of any law so made is inconsistent with any rule made by a House of Parliament under cl...",Unknown,116,0,"relation, financial, business, procedure, house, provision, made, rule, clause, regulation",emergency,False,0
120,Language to be used in Parliament,"120. Language to be used in Parliament (1) Notwithstanding anything in Part XVII, but subject to the Article 348, business in Parliament shall be transacted in Hindi or in English: Provided that the Chairman of the Council of States or Speaker of the House of the People, or Person acting as such, as the Case may be, may permit any member who cannot adequately express himself in Hindi or in English to address the House in his mother tongue (2) Unless Parliament by Law otherwise provides, this art...",Unknown,116,1,"english, hindi, house, language, used, notwithstanding, anything, part, xvii, subject",federal_structure,False,0
121,Restriction on discussion in Parliament No discussions shall take place in Parliament with respect to the conduct of any Judge of the Supreme Court or,121. Restriction on discussion in Parliament No discussions shall take place in Parliament with respect to the conduct of any Judge of the Supreme Court or of a High Court in the discharge of his duties expect upon a motion for presenting an address to the President praying for the removal of the Judge as hereinafter provided,Unknown,57,0,"judge, court, restriction, discussion, discussions, take, place, respect, conduct, supreme",governance,False,0
122,Courts not to inquire into proceedings of Parliament,"122. Courts not to inquire into proceedings of Parliament (1) The validity of any proceedings in Parliament shall not be called in question on the ground of any alleged irregularity of procedure (2) No officer or member of Parliament in whom powers are vested by or under this Constitution for regulating procedure or the conduct of business, or for maintaining order, in Parliament shall be subject to the jurisdiction of any court in respect of the exercise by him of those powers CHAPTER III LEGIS...",Unknown,89,1,"powers, proceedings, procedure, courts, inquire, into, validity, called, question, ground","federal_structure, governance",False,0
123,Power of President to promulgate Ordinances during recess of Parliament,"123. Power of President to promulgate Ordinances during recess of Parliament (1) If at any time, except when both Houses of Parliament are in session, the President is satisfied that circumstances exist which render it necessary for him to take immediate action, he may promulgate such Ordinance as the circumstances appear to him to require (2) An Ordinance promulgated under this article shall have the same force and effect as an Act of Parliament, but every such Ordinance (a) shall be laid befor...",Unknown,206,2,"ordinance, president, both, houses, promulgate, time, circumstances, expiration, weeks, reassemble","federal_structure, governance",False,0
124,Establishment and constitution of Supreme Court,"124. Establishment and constitution of Supreme Court (1) There shall be a Supreme Court of India constituting of a Chief Justice of India and, until Parliament by law prescribes a larger number, of not more than seven other Judges (2) Every Judge of the Supreme Court shall be appointed by the President by warrant under his hand and seal after consultation with such of the Judges of the Supreme Court and of the High Courts in the States as the President may deem necessary for the purpose and shal...",Unknown,156,1,"supreme, court, judge, india, chief, justice, president, office, than, other","federal_structure, governance",False,0
2A,The age of a Judge of the Supreme Court shall be determined by such authority and in such manner as Parliament may by law provide,"2A. The age of a Judge of the Supreme Court shall be determined by such authority and in such manner as Parliament may by law provide (3) A person shall not be qualified for appointment as a Judge of the Supreme Court unless he is a citizen of India and (a) has been for at least five years a Judge of a High Court or of two or more such Courts in succession; or (b) has been for at least ten years an advocate of a High Court or of two or more such Courts in succession; or (c) is, in the opinion of...",Unknown,383,5,"court, judge, person, supreme, high, president, office, india, advocate, clause","federal_structure, governance",False,0
125,"Salaries, etc, of Judges","125. Salaries, etc, of Judges (1) There shall be paid to the Judges of the Supreme Court such salaries as may be determined by Parliament by law and, until provision in that behalf is so made, such salaries as are specified in the Second Schedule (2) Every Judge shall be entitled to such privileges and allowances and to such rights in respect of leave of absence and pension as may from time to time be determined by or under law made by Parliament and, until so determined, to such privileges, all...",Unknown,131,1,"salaries, determined, privileges, allowances, rights, judges, made, specified, second, schedule",fundamental_rights,False,0
126,"Appointment of acting Chief Justice When the office of Chief Justice of India is vacant or when the Chief Justice is, by reason or absence or otherwis","126. Appointment of acting Chief Justice When the office of Chief Justice of India is vacant or when the Chief Justice is, by reason or absence or otherwise, unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purpose",Unknown,62,0,"chief, justice, office, duties, appointment, acting, india, vacant, reason, absence",governance,False,0
127,Appointment of ad hoc Judges,"127. Appointment of ad hoc Judges (1) If at any time there should not be a quorum of the Judges of the Supreme Court available to hold or continue any session of the Court, the Chief Justice of India may, with the previous consent of the President and after consultation with the Chief Justice of the High Court concerned, request in writing the attendance at the sittings of the Court, as an ad hoc Judge, for such period as may be necessary, of a Judge of a High Court duly qualified for appointmen...",Unknown,177,1,"court, judge, supreme, chief, justice, appointment, judges, time, india, high","federal_structure, governance",False,0
128,"Attendance of retired Judges at sittings of the Supreme Court Notwithstanding anything in this chapter, the Chief Justice of India may at any time, with the previous consent of the president, request any person who has held the office of a Judge of the Supreme Court or of the Federal Court or who has held the office of a Judge of a High Court and is duly qualified for appointment as a Judge of the Supreme Court to sit and act as a Judge of the Supreme Court, and every such person so requested shall, while so sitting and acting, be entitled to such allowances as the President may by order determine and have all the jurisdiction, powers and privileges of, but shall not otherwise be deemed to be, a Judge of that Court","128. Attendance of retired Judges at sittings of the Supreme Court Notwithstanding anything in this chapter, the Chief Justice of India may at any time, with the previous consent of the president, request any person who has held the office of a Judge of the Supreme Court or of the Federal Court or who has held the office of a Judge of a High Court and is duly qualified for appointment as a Judge of the Supreme Court to sit and act as a Judge of the Supreme Court, and every such person so request...",Unknown,167,0,"court, judge, supreme, person, president, held, office, deemed, attendance, retired","federal_structure, governance",False,0
129,Supreme Court to be a court of record The Supreme Court shall be a court of record and shall have all the powers of such a court including the power t,129. Supreme Court to be a court of record The Supreme Court shall be a court of record and shall have all the powers of such a court including the power to punish for contempt of itself,Unknown,37,0,"court, supreme, record, powers, including, power, punish, contempt, itself",,False,0
130,"Seat of Supreme Court The Supreme Court shall sit in Delhi or in such other place or places, as the Chief Justice of India may, with the approval of t","130. Seat of Supreme Court The Supreme Court shall sit in Delhi or in such other place or places, as the Chief Justice of India may, with the approval of the President, from time to time, appoint",Unknown,37,0,"supreme, court, time, seat, delhi, other, place, places, chief, justice",governance,False,0
131,"Original jurisdiction of the Supreme Court Subject to the provisions of this Constitution, the Supreme Court shall, to the exclusion of any other court, have original jurisdiction in any dispute","131. Original jurisdiction of the Supreme Court Subject to the provisions of this Constitution, the Supreme Court shall, to the exclusion of any other court, have original jurisdiction in any dispute (a) between the Government of India and one or more States; or (b) between the Government of India and any State or States on one side and one or more other States on the other; or (c) between two or more States, if and in so far as the dispute involves any question (whether of law or fact) on which...",Unknown,157,1,"jurisdiction, other, dispute, court, between, more, original, supreme, india, said","fundamental_rights, federal_structure",False,0
132,Appellate jurisdiction of Supreme Court in appeals from High Courts in certain cases,"132. Appellate jurisdiction of Supreme Court in appeals from High Courts in certain cases (1) An appeal shall lie to the Supreme Court from any judgment, decree or final order of a High Court in the territory of India, whether in a civil, criminal or other proceeding, if the High Court certifies under Article 134A that the case involves a substantial question of law as t the interpretation of this Constitution (2) Omitted (3) Where such a certificate is given, any party in the case may appeal to...",Unknown,139,1,"court, supreme, high, final, order, case, appeal, question, decided, appellate",federal_structure,False,0
133,Appellate jurisdiction of Supreme Court in appeals from High Courts in regard to civil matters,"133. Appellate jurisdiction of Supreme Court in appeals from High Courts in regard to civil matters (1) An appeal shall lie to the Supreme Court from any judgment, decree or final order in a civil proceeding of a High Court in the territory of India if the High Court certifies under Article 134A (a) that the case involves a substantial question of law of general importance; and (b) that in the opinion of the High Court the said question needs to be decided by the Supreme Court (2) Notwithstandin...",Unknown,164,2,"court, supreme, high, appeal, question, civil, judgment, decree, final, order",federal_structure,False,0
134,Appellate jurisdiction of Supreme Court in regard to criminal matters,"134. Appellate jurisdiction of Supreme Court in regard to criminal matters (1) An appeal shall lie to the Supreme Court from any judgment, final order or sentence in a criminal proceeding of a High Court in the territory of India if the High Court has on appeal reversed an order of acquittal of an accused person and sentenced him to death; or has withdrawn for trial before itself any case from any court subordinate to its authority and has in such trial convicted the accused person and sentenced...",Unknown,200,3,"court, supreme, appeal, high, criminal, order, judgment, final, sentence, proceeding",federal_structure,False,0
134A,"Certificate for appeal to the Supreme Court Every High Court, passing or making a judgment, decree, final order, or sentence, referred to in clause","134A. Certificate for appeal to the Supreme Court Every High Court, passing or making a judgment, decree, final order, or sentence, referred to in clause (1) of Article 132 or clause (1) of Article 133, or clause (1) of Article 134 (a) may, if it deems fit so to do, on its own motion; and (b) shall, if an oral application is made, by or on behalf of the party aggrieved, immediately after the passing or making of such judgment, decree, final order or sentence, determine, as soon as may be after s...",Unknown,141,1,"clause, passing, making, certificate, court, judgment, decree, final, order, sentence",,False,0
135,"Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court Until Parliament by law otherwise provides, the","135. Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court Until Parliament by law otherwise provides, the Supreme Court shall also have jurisdiction and powers with respect to any matter to which the provisions of Article 133 or Article 134 do not apply if jurisdiction and powers in relation to that matter were exercisable by the Federal Court immediately before the commencement of this Constitution under any existing law",Unknown,77,0,"court, jurisdiction, powers, federal, existing, exercisable, supreme, matter, otherwise, provides",federal_structure,False,0
136,Special leave to appeal by the Supreme Court,"136. Special leave to appeal by the Supreme Court (1) Notwithstanding anything in this Chapter, the Supreme Court may, in its discretion, grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India (2) Nothing in clause (1) shall apply to any judgment, determination, sentence or order passed or made by any court or tribunal constituted by or under any law relating to the Armed F...",Unknown,86,0,"court, special, leave, appeal, supreme, judgment, determination, sentence, order, passed",federal_structure,False,0
137,"Review of judgments or orders by the Supreme Court Subject to the provisions of any law made by Parliament or any rules made under Article 145, the Su","137. Review of judgments or orders by the Supreme Court Subject to the provisions of any law made by Parliament or any rules made under Article 145, the Supreme Court shall have power to review any judgment pronounced or order made by it",Unknown,43,0,"made, review, supreme, court, judgments, orders, subject, provisions, rules, power",,False,0
138,Enlargement of the jurisdiction of the Supreme Court,"138. Enlargement of the jurisdiction of the Supreme Court (1) The Supreme Court shall have such further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer (2) The Supreme Court shall have such further jurisdiction, and powers with respect to any matter as the Government of India and the Government of any State may by special agreement confer, if Parliament by law provides for the exercise of such jurisdiction and powers by the Supreme Cou...",Unknown,86,1,"jurisdiction, supreme, court, powers, respect, confer, enlargement, matters, list, matter",federal_structure,False,0
