question,answer,context,section_number,chapter,type,keyword,chapter_title
Which section of IPC deals with servant?,"Section 179 (Refusing to answer public servant authorized to question) deals with servant. Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 179: Refusing to answer public servant authorized to question
Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",179,10,keyword_based,servant,
Which section of IPC deals with answer?,"Section 179 (Refusing to answer public servant authorized to question) deals with answer. Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 179: Refusing to answer public servant authorized to question
Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",179,10,keyword_based,answer,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 179 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Refusing to answer public servant authorized to question,"Section 179: Refusing to answer public servant authorized to question
Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",179,10,chapter_based,,contempt's the lawful authority public servants
What is Section 180 of IPC about?,"Section 180 is titled 'Refusing to sign statement' and states: Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,general,,
Which section deals with refusing to sign statement?,"Section 180 deals with refusing to sign statement. It states: Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,title_based,,
Which section of IPC deals with sign?,"Section 180 (Refusing to sign statement) deals with sign. Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,keyword_based,sign,
Which section of IPC deals with statement?,"Section 180 (Refusing to sign statement) deals with statement. Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,keyword_based,statement,
Which section of IPC deals with shall?,"Section 180 (Refusing to sign statement) deals with shall. Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,keyword_based,shall,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 180 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Refusing to sign statement,"Section 180: Refusing to sign statement
Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",180,10,chapter_based,,contempt's the lawful authority public servants
What is Section 181 of IPC about?,"Section 181 is titled 'False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation' and states: Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,general,,
Which section deals with false statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation?,"Section 181 deals with false statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation. It states: Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,title_based,,
Which section of IPC deals with oath?,"Section 181 (False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation) deals with oath. Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,keyword_based,oath,
Which section of IPC deals with affirmation?,"Section 181 (False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation) deals with affirmation. Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,keyword_based,affirmation,
Which section of IPC deals with false?,"Section 181 (False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation) deals with false. Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,keyword_based,false,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 181 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation,"Section 181: False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation
Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",181,10,chapter_based,,contempt's the lawful authority public servants
What is Section 182 of IPC about?,"Section 182 is titled 'False information, with intent to cause public servant to use his lawful power to the injury of another person' and states: Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,general,,
"Which section deals with false information, with intent to cause public servant to use his lawful power to the injury of another person?","Section 182 deals with false information, with intent to cause public servant to use his lawful power to the injury of another person. It states: Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,title_based,,
Which section of IPC deals with cause?,"Section 182 (False information, with intent to cause public servant to use his lawful power to the injury of another person) deals with cause. Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,keyword_based,cause,
Which section of IPC deals with public?,"Section 182 (False information, with intent to cause public servant to use his lawful power to the injury of another person) deals with public. Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,keyword_based,public,
Which section of IPC deals with servant?,"Section 182 (False information, with intent to cause public servant to use his lawful power to the injury of another person) deals with servant. Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,keyword_based,servant,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,"Section 182 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: False information, with intent to cause public servant to use his lawful power to the injury of another person","Section 182: False information, with intent to cause public servant to use his lawful power to the injury of another person
Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:",182,10,chapter_based,,contempt's the lawful authority public servants
What is Section 183 of IPC about?,"Section 183 is titled 'Resistance to the taking of property by the lawful authority of a public servant' and states: Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,general,,
Which section deals with resistance to the taking of property by the lawful authority of a public servant?,"Section 183 deals with resistance to the taking of property by the lawful authority of a public servant. It states: Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,title_based,,
Which section of IPC deals with public?,"Section 183 (Resistance to the taking of property by the lawful authority of a public servant) deals with public. Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,keyword_based,public,
Which section of IPC deals with servant?,"Section 183 (Resistance to the taking of property by the lawful authority of a public servant) deals with servant. Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,keyword_based,servant,
Which section of IPC deals with resistance?,"Section 183 (Resistance to the taking of property by the lawful authority of a public servant) deals with resistance. Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.","Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,keyword_based,resistance,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 183 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Resistance to the taking of property by the lawful authority of a public servant,"Section 183: Resistance to the taking of property by the lawful authority of a public servant
Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",183,10,chapter_based,,contempt's the lawful authority public servants
What is Section 184 of IPC about?,"Section 184 is titled 'Obstructing sale of property offered for sale by authority of public servant' and states: Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.","Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,general,,
Which section deals with obstructing sale of property offered for sale by authority of public servant?,"Section 184 deals with obstructing sale of property offered for sale by authority of public servant. It states: Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.","Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,title_based,,
Which section of IPC deals with sale?,"Section 184 (Obstructing sale of property offered for sale by authority of public servant) deals with sale. Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.","Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,keyword_based,sale,
Which section of IPC deals with property?,"Section 184 (Obstructing sale of property offered for sale by authority of public servant) deals with property. Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.","Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,keyword_based,property,
Which section of IPC deals with offered?,"Section 184 (Obstructing sale of property offered for sale by authority of public servant) deals with offered. Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.","Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,keyword_based,offered,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 184 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Obstructing sale of property offered for sale by authority of public servant,"Section 184: Obstructing sale of property offered for sale by authority of public servant
Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",184,10,chapter_based,,contempt's the lawful authority public servants
What is Section 185 of IPC about?,"Section 185 is titled 'Illegal purchase or bid for property offered for sale by authority of public servant' and states: Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.","Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,general,,
Which section deals with illegal purchase or bid for property offered for sale by authority of public servant?,"Section 185 deals with illegal purchase or bid for property offered for sale by authority of public servant. It states: Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.","Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,title_based,,
Which section of IPC deals with property?,"Section 185 (Illegal purchase or bid for property offered for sale by authority of public servant) deals with property. Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.","Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,keyword_based,property,
Which section of IPC deals with sale?,"Section 185 (Illegal purchase or bid for property offered for sale by authority of public servant) deals with sale. Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.","Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,keyword_based,sale,
Which section of IPC deals with purchase?,"Section 185 (Illegal purchase or bid for property offered for sale by authority of public servant) deals with purchase. Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.","Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,keyword_based,purchase,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 185 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Illegal purchase or bid for property offered for sale by authority of public servant,"Section 185: Illegal purchase or bid for property offered for sale by authority of public servant
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",185,10,chapter_based,,contempt's the lawful authority public servants
What is Section 186 of IPC about?,"Section 186 is titled 'Obstructing public servant in discharge of public functions' and states: Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,general,,
Which section deals with obstructing public servant in discharge of public functions?,"Section 186 deals with obstructing public servant in discharge of public functions. It states: Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,title_based,,
Which section of IPC deals with public?,"Section 186 (Obstructing public servant in discharge of public functions) deals with public. Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,keyword_based,public,
Which section of IPC deals with servant?,"Section 186 (Obstructing public servant in discharge of public functions) deals with servant. Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,keyword_based,servant,
Which section of IPC deals with discharge?,"Section 186 (Obstructing public servant in discharge of public functions) deals with discharge. Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.","Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,keyword_based,discharge,
What sections are in Chapter 10 about contempt's the lawful authority public servants?,Section 186 is part of Chapter 10 on contempt's the lawful authority public servants. This section covers: Obstructing public servant in discharge of public functions,"Section 186: Obstructing public servant in discharge of public functions
Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",186,10,chapter_based,,contempt's the lawful authority public servants
What is Section 187 of IPC about?,"Section 187 is titled 'Omission to assist public servant when bound by law to give assistance' and states: Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.","Section 187: Omission to assist public servant when bound by law to give assistance
Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.",187,10,general,,
