question,answer,context,article_number,type,clause,keyword
Which article deals with sovereignty?,Article 51A (Fundamental duties) deals with sovereignty.,"Article 51A: Fundamental duties\n(a) to abide by the Constitution and respect its ideals and institutions, the National Flag and the National Anthem;\n(b) to cherish and follow the noble ideals which inspired our national struggle for freedom;\n(c) to uphold and protect the sovereignty, unity and integrity of India;\n(d) to defend the country and render national service when called upon to do so;\n(e) to promote harmony and the spirit of common brotherhood amongst all the people of India transcending religious, linguistic and regional or sectional diversities; to renounce practices derogatory to the dignity of women;\n(f) to value and preserve the rich heritage of our composite culture;\n(g) to protect and improve the natural environment including forests, lakes, rivers and wild life, and to have compassion for living creatures;\n(h) to develop the scientific temper, humanism and the spirit of inquiry and reform;\n(i) to safeguard public property and to abjure violence;\n(j) to strive towards excellence in all spheres of individual and collective activity so that the nation constantly rises to higher levels of endeavour and achievement;\n(k) who is a parent or guardian to provide opportunities for education to his child or, as the case may be, ward between the age of six and fourteen years.",51A,keyword_based,,sovereignty
Which article deals with culture?,Article 51A (Fundamental duties) deals with culture.,"Article 51A: Fundamental duties\n(a) to abide by the Constitution and respect its ideals and institutions, the National Flag and the National Anthem;\n(b) to cherish and follow the noble ideals which inspired our national struggle for freedom;\n(c) to uphold and protect the sovereignty, unity and integrity of India;\n(d) to defend the country and render national service when called upon to do so;\n(e) to promote harmony and the spirit of common brotherhood amongst all the people of India transcending religious, linguistic and regional or sectional diversities; to renounce practices derogatory to the dignity of women;\n(f) to value and preserve the rich heritage of our composite culture;\n(g) to protect and improve the natural environment including forests, lakes, rivers and wild life, and to have compassion for living creatures;\n(h) to develop the scientific temper, humanism and the spirit of inquiry and reform;\n(i) to safeguard public property and to abjure violence;\n(j) to strive towards excellence in all spheres of individual and collective activity so that the nation constantly rises to higher levels of endeavour and achievement;\n(k) who is a parent or guardian to provide opportunities for education to his child or, as the case may be, ward between the age of six and fourteen years.",51A,keyword_based,,culture
What is Article 52 about?,Article 52 is titled 'The President of India' and deals with the president of india.,Article 52: The President of India\nThere shall be a President of India.,52,general,,
What does clause  of Article 52 state?,There shall be a President of India.,Article 52: The President of India\nThere shall be a President of India.,52,clause_specific,,
Which article deals with India?,Article 52 (The President of India) deals with India.,Article 52: The President of India\nThere shall be a President of India.,52,keyword_based,,India
Which article deals with President?,Article 52 (The President of India) deals with President.,Article 52: The President of India\nThere shall be a President of India.,52,keyword_based,,President
What is Article 53 about?,Article 53 is titled 'Executive power of the Union' and deals with executive power of the union.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,general,,
What does clause (1) of Article 53 state?,The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,clause_specific,(1),
What does clause (2) of Article 53 state?,"Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.","Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,clause_specific,(2),
What does clause (3) of Article 53 state?,Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,clause_specific,(3),
Which article deals with executive power?,Article 53 (Executive power of the Union) deals with executive power.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,keyword_based,,executive power
Which article deals with supreme command?,Article 53 (Executive power of the Union) deals with supreme command.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,keyword_based,,supreme command
Which article deals with Defence Forces?,Article 53 (Executive power of the Union) deals with Defence Forces.,"Article 53: Executive power of the Union\n(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution.\n(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law.\n(3) Nothing in this article shall-(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or (b) prevent Parliament from conferring by law functions on authorities other than the President.",53,keyword_based,,Defence Forces
What is Article 54 about?,Article 54 is titled 'Election of President' and deals with election of president.,Article 54: Election of President\nThe President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,54,general,,
What does clause  of Article 54 state?,The President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,Article 54: Election of President\nThe President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,54,clause_specific,,
Which article deals with electoral college?,Article 54 (Election of President) deals with electoral college.,Article 54: Election of President\nThe President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,54,keyword_based,,electoral college
Which article deals with Legislative Assemblies?,Article 54 (Election of President) deals with Legislative Assemblies.,Article 54: Election of President\nThe President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,54,keyword_based,,Legislative Assemblies
Which article deals with President?,Article 54 (Election of President) deals with President.,Article 54: Election of President\nThe President shall be elected by the members of an electoral college consisting of-(a) the elected members of both Houses of Parliament; and (b) the elected members of the Legislative Assemblies of the States.,54,keyword_based,,President
What is Article 55 about?,Article 55 is titled 'Manner of election of President' and deals with manner of election of president.,"Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,general,,
What does clause (1) of Article 55 state?,"As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.","Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,clause_specific,(1),
What does clause (2) of Article 55 state?,"For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.","Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,clause_specific,(2),
What does clause (3) of Article 55 state?,The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.,"Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,clause_specific,(3),
Which article deals with single transferable vote?,Article 55 (Manner of election of President) deals with single transferable vote.,"Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,keyword_based,,single transferable vote
Which article deals with uniformity?,Article 55 (Manner of election of President) deals with uniformity.,"Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,keyword_based,,uniformity
Which article deals with proportional representation?,Article 55 (Manner of election of President) deals with proportional representation.,"Article 55: Manner of election of President\n(1) As far as practicable, there shall be uniformity in the scale of representation of the different States at the election of the President.\n(2) For the purpose of securing such uniformity among the States as well as parity between the States and the Union, the number of votes shall be calculated in the manner laid down in this article.\n(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting shall be by secret ballot.",55,keyword_based,,proportional representation
What is Article 56 about?,Article 56 is titled 'Term of office of President' and deals with term of office of president.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,general,,
What does clause (1) of Article 56 state?,The President shall hold office for a term of five years from the date on which he enters upon his office.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,clause_specific,(1),
What does clause (2) of Article 56 state?,The President may resign his office by writing under his hand addressed to the Vice-President.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,clause_specific,(2),
What does clause (3) of Article 56 state?,"The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.","Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,clause_specific,(3),
Which article deals with Vice-President?,Article 56 (Term of office of President) deals with Vice-President.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,keyword_based,,Vice-President
Which article deals with successor?,Article 56 (Term of office of President) deals with successor.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,keyword_based,,successor
Which article deals with resignation?,Article 56 (Term of office of President) deals with resignation.,"Article 56: Term of office of President\n(1) The President shall hold office for a term of five years from the date on which he enters upon his office.\n(2) The President may resign his office by writing under his hand addressed to the Vice-President.\n(3) The President may, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office.",56,keyword_based,,resignation
What is Article 57 about?,Article 57 is titled 'Eligibility for re-election' and deals with eligibility for re-election.,"Article 57: Eligibility for re-election\nA person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.",57,general,,
What does clause  of Article 57 state?,"A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.","Article 57: Eligibility for re-election\nA person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.",57,clause_specific,,
Which article deals with eligibility?,Article 57 (Eligibility for re-election) deals with eligibility.,"Article 57: Eligibility for re-election\nA person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.",57,keyword_based,,eligibility
Which article deals with re-election?,Article 57 (Eligibility for re-election) deals with re-election.,"Article 57: Eligibility for re-election\nA person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.",57,keyword_based,,re-election
Which article deals with President?,Article 57 (Eligibility for re-election) deals with President.,"Article 57: Eligibility for re-election\nA person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re-election to that office.",57,keyword_based,,President
What is Article 58 about?,Article 58 is titled 'Qualifications for election as President' and deals with qualifications for election as president.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,general,,
What does clause (1) of Article 58 state?,No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,clause_specific,(1),
What does clause (2) of Article 58 state?,A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,clause_specific,(2),
Which article deals with thirty-five?,Article 58 (Qualifications for election as President) deals with thirty-five.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,keyword_based,,thirty-five
Which article deals with office of profit?,Article 58 (Qualifications for election as President) deals with office of profit.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,keyword_based,,office of profit
Which article deals with citizen?,Article 58 (Qualifications for election as President) deals with citizen.,Article 58: Qualifications for election as President\n(1) No person shall be eligible for election as President unless he-(a) is a citizen of India; (b) has completed the age of thirty-five years; and (c) is qualified for election as a member of the House of the People.\n(2) A person shall not be eligible for election as President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority.,58,keyword_based,,citizen
What is Article 59 about?,Article 59 is titled 'Conditions of President’s office' and deals with conditions of president’s office.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,general,,
What does clause (1) of Article 59 state?,The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,clause_specific,(1),
What does clause (2) of Article 59 state?,The President shall not hold any other office of profit.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,clause_specific,(2),
What does clause (3) of Article 59 state?,"The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.","Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,clause_specific,(3),
What does clause (4) of Article 59 state?,The emoluments and allowances of the President shall not be diminished during his term of office.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,clause_specific,(4),
Which article deals with residence?,Article 59 (Conditions of President’s office) deals with residence.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,keyword_based,,residence
Which article deals with emoluments?,Article 59 (Conditions of President’s office) deals with emoluments.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,keyword_based,,emoluments
Which article deals with Parliament?,Article 59 (Conditions of President’s office) deals with Parliament.,"Article 59: Conditions of President’s office\n(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State.\n(2) The President shall not hold any other office of profit.\n(3) The President shall be entitled without payment of rent to the use of his official residences and shall be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law.\n(4) The emoluments and allowances of the President shall not be diminished during his term of office.",59,keyword_based,,Parliament
What is Article 60 about?,Article 60 is titled 'Oath or affirmation by the President' and deals with oath or affirmation by the president.,"Article 60: Oath or affirmation by the President\nEvery President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.",60,general,,
What does clause  of Article 60 state?,"Every President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.","Article 60: Oath or affirmation by the President\nEvery President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.",60,clause_specific,,
Which article deals with Chief Justice?,Article 60 (Oath or affirmation by the President) deals with Chief Justice.,"Article 60: Oath or affirmation by the President\nEvery President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.",60,keyword_based,,Chief Justice
Which article deals with affirmation?,Article 60 (Oath or affirmation by the President) deals with affirmation.,"Article 60: Oath or affirmation by the President\nEvery President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.",60,keyword_based,,affirmation
Which article deals with Constitution?,Article 60 (Oath or affirmation by the President) deals with Constitution.,"Article 60: Oath or affirmation by the President\nEvery President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India an oath or affirmation to preserve, protect and defend the Constitution and the law.",60,keyword_based,,Constitution
What is Article 61 about?,Article 61 is titled 'Procedure for impeachment of the President' and deals with procedure for impeachment of the president.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,general,,
What does clause (1) of Article 61 state?,The President can be impeached for violation of the Constitution.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,clause_specific,(1),
What does clause (2) of Article 61 state?,The charge must be preferred by either House of Parliament.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,clause_specific,(2),
What does clause (3) of Article 61 state?,"The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.","Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,clause_specific,(3),
Which article deals with House?,Article 61 (Procedure for impeachment of the President) deals with House.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,keyword_based,,House
Which article deals with violation?,Article 61 (Procedure for impeachment of the President) deals with violation.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,keyword_based,,violation
Which article deals with impeachment?,Article 61 (Procedure for impeachment of the President) deals with impeachment.,"Article 61: Procedure for impeachment of the President\n(1) The President can be impeached for violation of the Constitution.\n(2) The charge must be preferred by either House of Parliament.\n(3) The charge shall be investigated and if supported by two-thirds majority, the President shall be removed.",61,keyword_based,,impeachment
What is Article 62 about?,Article 62 is titled 'Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy' and deals with time of holding election to fill vacancy in the office of president and the term of office of person elected to fill casual vacancy.,"Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,general,,
What does clause (1) of Article 62 state?,An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.,"Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,clause_specific,(1),
What does clause (2) of Article 62 state?,"In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.","Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,clause_specific,(2),
Which article deals with unexpired term?,Article 62 (Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy) deals with unexpired term.,"Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,keyword_based,,unexpired term
Which article deals with six months?,Article 62 (Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy) deals with six months.,"Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,keyword_based,,six months
Which article deals with casual vacancy?,Article 62 (Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy) deals with casual vacancy.,"Article 62: Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy\n(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term.\n(2) In case of a casual vacancy, the election shall be held within six months and the person elected shall hold office for the unexpired term.",62,keyword_based,,casual vacancy
What is Article 63 about?,Article 63 is titled 'The Vice-President of India' and deals with the vice-president of india.,Article 63: The Vice-President of India\nThere shall be a Vice-President of India.,63,general,,
What does clause  of Article 63 state?,There shall be a Vice-President of India.,Article 63: The Vice-President of India\nThere shall be a Vice-President of India.,63,clause_specific,,
Which article deals with India?,Article 63 (The Vice-President of India) deals with India.,Article 63: The Vice-President of India\nThere shall be a Vice-President of India.,63,keyword_based,,India
Which article deals with Vice-President?,Article 63 (The Vice-President of India) deals with Vice-President.,Article 63: The Vice-President of India\nThere shall be a Vice-President of India.,63,keyword_based,,Vice-President
What is Article 64 about?,Article 64 is titled 'The Vice-President to be ex officio Chairman of the Council of States' and deals with the vice-president to be ex officio chairman of the council of states.,"Article 64: The Vice-President to be ex officio Chairman of the Council of States\nThe Vice-President shall be ex officio Chairman of the Council of the States and shall not hold any other office of profit.\nProvided During any period when the Vice-President acts as President or discharges the functions of the President under article 65, he shall not perform the duties of the office of Chairman of the Council of States and shall not be entitled to any salary or allowance payable to the Chairman of the Council of States under article 97.",64,general,,
What does clause  of Article 64 state?,The Vice-President shall be ex officio Chairman of the Council of the States and shall not hold any other office of profit.,"Article 64: The Vice-President to be ex officio Chairman of the Council of States\nThe Vice-President shall be ex officio Chairman of the Council of the States and shall not hold any other office of profit.\nProvided During any period when the Vice-President acts as President or discharges the functions of the President under article 65, he shall not perform the duties of the office of Chairman of the Council of States and shall not be entitled to any salary or allowance payable to the Chairman of the Council of States under article 97.",64,clause_specific,,
